Admin_name,Admin_id,2009,1999,1989
Oliveira do Bairro,102010114,0.81,0.67,0.54
Ovar,102010115,0.67,0.54,0.44
Sever do Vouga,102010117,0.67,0.51,0.42
Vagos,102010118,0.78,0.55,0.4
Baixo Mondego,10202,0.74,0.6,0.49
Cantanhede,102020602,0.73,0.56,0.43
Coimbra,102020603,0.78,0.63,0.51
Condeixa-a-Nova,102020604,0.8,0.68,0.58
Figueira da Foz,102020605,0.71,0.57,0.49
Mira,102020608,0.75,0.58,0.48
Montemor-o-Velho,102020610,0.65,0.53,0.45
Penacova,102020613,0.78,0.66,0.55
Soure,102020615,0.79,0.65,0.53
Pinhal Litoral,10203,0.79,0.67,0.55
Batalha,102031004,0.82,0.73,0.61
Leiria,102031009,0.79,0.67,0.55
Marinha Grande,102031010,0.76,0.71,0.61
Pombal,102031015,0.78,0.65,0.53
Porto de Mós,102031016,0.79,0.66,0.54
Pinhal Interior Norte,10204,0.8,0.7,0.6
Alvaiázere,102041002,0.84,0.74,0.64
Ansião,102041003,0.81,0.68,0.56
Arganil,102040601,0.76,0.7,0.63
Castanheira de Pêra,102041007,0.76,0.74,0.59
Figueiró dos Vinhos,102041008,0.79,0.71,0.61
Góis,102040606,0.77,0.71,0.64
Lousã,102040607,0.79,0.7,0.53
Miranda do Corvo,102040609,0.73,0.65,0.52
Oliveira do Hospital,102040611,0.78,0.7,0.58
Pampilhosa da Serra,102040612,0.92,0.77,0.69
Pedrógão Grande,102041013,0.85,0.79,0.69
Penela,102040614,0.82,0.68,0.56
Tábua,102040616,0.77,0.67,0.58
Vila Nova de Poiares,102040617,0.79,0.69,0.6
Dão-Lafões,10205,0.76,0.62,0.54
Aguiar da Beira,102050901,0.66,0.56,0.58
Carregal do Sal,102051802,0.82,0.66,0.51
Castro Daire,102051803,0.68,0.6,0.55
Mangualde,102051806,0.8,0.69,0.59
Mortágua,102051808,0.81,0.62,0.49
Nelas,102051809,0.81,0.67,0.55
Oliveira de Frades,102051810,0.66,0.51,0.5
Penalva do Castelo,102051811,0.77,0.65,0.56
Santa Comba Dão,102051814,0.79,0.61,0.53
São Pedro do Sul,102051816,0.73,0.56,0.53
Sátão,102051817,0.79,0.62,0.58
Tondela,102051821,0.76,0.65,0.53
Vila Nova de Paiva,102051822,0.69,0.6,0.57
Viseu,102051823,0.79,0.64,0.52
Vouzela,102051824,0.73,0.62,0.55
Pinhal Interior Sul,10206,0.83,0.76,0.7
Mação,102061413,0.87,0.82,0.76
Oleiros,102060506,0.85,0.75,0.68
Proença-a-Nova,102060508,0.82,0.74,0.68
Sertã,102060509,0.81,0.75,0.67
Vila de Rei,102060510,0.87,0.82,0.73
Serra da Estrela,10207,0.8,0.7,0.64
Fornos de Algodres,102070905,0.78,0.71,0.65
Gouveia,102070906,0.81,0.72,0.67
Seia,102070912,0.8,0.69,0.63
Beira Interior Norte,10208,0.76,0.7,0.66
Almeida,102080902,0.72,0.72,0.67
Celorico da Beira,102080903,0.76,0.67,0.64
Figueira de Castelo Rodrigo,102080904,0.77,0.7,0.68
Guarda,102080907,0.76,0.71,0.67
Manteigas,102080908,0.86,0.71,0.64
Meda,102080909,0.77,0.7,0.66
Pinhel,102080910,0.76,0.67,0.58
Sabugal,102080911,0.75,0.76,0.72
Trancoso,102080913,0.76,0.68,0.65
Beira Interior Sul,10209,0.84,0.78,0.73
Castelo Branco,102090502,0.85,0.77,0.71
Idanha-a-Nova,102090505,0.8,0.77,0.76
Penamacor,102090507,0.82,0.81,0.75
Vila Velha de Ródão,102090511,0.86,0.82,0.78
Cova da Beira,10210,0.79,0.72,0.67
Belmonte,102100501,0.79,0.74,0.67
Covilhã,102100503,0.75,0.69,0.66
Fundão,102100504,0.8,0.73,0.68
Oeste,10301,0.7,0.62,0.52
Alcobaça,103011001,0.75,0.62,0.49
Alenquer,103011101,0.75,0.66,0.55
Arruda dos Vinhos,103011102,0.77,0.68,0.57
Bombarral,103011005,0.66,0.6,0.54
Cadaval,103011104,0.68,0.61,0.54
Caldas da Rainha,103011006,0.7,0.62,0.52
Lourinhã,103011108,0.66,0.56,0.5
Nazaré,103011011,0.71,0.59,0.51
Óbidos,103011012,0.64,0.58,0.53
Peniche,103011014,0.63,0.6,0.5
Sobral de Monte Agraço,103011112,0.7,0.66,0.56
Torres Vedras,103011113,0.67,0.62,0.53
Médio Tejo,10304,0.81,0.74,0.67
Abrantes,103041401,0.88,0.79,0.73
Alcanena,103041402,0.78,0.7,0.66
Constância,103041408,0.81,0.73,0.74
Entroncamento,103041410,0.81,0.81,0.73
Ferreira do Zêzere,103041411,0.8,0.74,0.67
Ourém,103041421,0.81,0.71,0.6
Sardoal,103041417,0.83,0.75,0.74
Tomar,103041418,0.8,0.75,0.69
Torres Novas,103041419,0.78,0.71,0.7
Vila Nova da Barquinha,103041420,0.82,0.75,0.67
Lisboa,103021106,0.76,0.68,0.56
Grande Lisboa,10302,0.74,0.68,0.57
Amadora,103021115,1,0.71,0.6
Cascais,103021105,0.79,0.79,0.61
Lisboa,103021106,0.67,0,0
Loures,103021107,0.73,0.66,0.62
Mafra,103011109,0.74,0.66,0.53
Odivelas,103021116,0.67,0.77,0
Oeiras,103021110,0.67,0.87,0.7
Sintra,103021111,0.75,0.7,0.59
Vila Franca de Xira,103021114,0.77,0.71,0.59
Península de Setúbal,10303,0.78,0.67,0.54
Alcochete,103031502,0.8,0.69,0.55
Almada,103031503,0.71,0.71,0.69
Barreiro,103031504,0.73,0.86,0.65
Moita,103031506,0.77,0.73,0.63
Montijo,103031507,0.77,0.63,0.56
Palmela,103031508,0.77,0.65,0.48
Seixal,103031510,0.83,0.69,0.64
Sesimbra,103031511,0.85,0.75,0.67
Setúbal,103031512,0.78,0.69,0.55
Alentejo,104,0.74,0.67,0.62
Alentejo Litoral,10401,0.72,0.65,0.6
Alcácer do Sal,104011501,0.68,0.53,0.48
Grândola,104011505,0.77,0.68,0.64
Odemira,104010211,0.71,0.67,0.63
Santiago do Cacém,104011509,0.74,0.67,0.58
Sines,104011513,0.69,0.65,0.62
Alto Alentejo,10402,0.78,0.73,0.68
Alter do Chão,104021201,0.69,0.68,0.67
Arronches,104021202,0.74,0.7,0.68
Avis,104021203,0.69,0.64,0.68
Campo Maior,104021204,0.76,0.66,0.59
Castelo de Vide,104021205,0.79,0.7,0.71
Crato,104021206,0.73,0.68,0.73
Elvas,104021207,0.71,0.62,0.62
Fronteira,104021208,0.65,0.59,0.55
Gavião,104021209,0.88,0.83,0.75
Marvão,104021210,0.81,0.75,0.7
Monforte,104021211,0.69,0.71,0.66
Mora,104020707,0.83,0.72,0.61
Nisa,104021212,0.84,0.8,0.76
Ponte de Sor,104021213,0.78,0.74,0.68
Portalegre,104021214,0.79,0.75,0.64
Alentejo Central,10403,0.73,0.69,0.64
Alandroal,104030701,0.74,0.75,0.65
Arraiolos,104030702,0.69,0.65,0.62
Borba,104030703,0.8,0.71,0.61
Estremoz,104030704,0.76,0.69,0.64
Évora,104030705,0.71,0.65,0.64
Montemor-o-Novo,104030706,0.74,0.65,0.61
Mourão,104030708,0.73,0.69,0.7
Portel,104030709,0.73,0.73,0.66
Redondo,104030710,0.73,0.7,0.66
Reguengos de Monsaraz,104030711,0.71,0.7,0.65
Sousel,104031215,0.76,0.72,0.65
Vendas Novas,104030712,0.78,0.65,0.53
Viana do Alentejo,104030713,0.69,0.67,0.62
Vila Viçosa,104030714,0.71,0.71,0.64
Baixo Alentejo,10404,0.69,0.65,0.62
Aljustrel,104040201,0.61,0.5,0.46
Almodôvar,104040202,0.73,0.67,0.64
Alvito,104040203,0.72,0.68,0.67
Barrancos,104040204,0.65,0.68,0.64
Beja,104040205,0.71,0.65,0.58
Castro Verde,104040206,0.62,0.57,0.51
Cuba,104040207,0.69,0.7,0.73
Ferreira do Alentejo,104040208,0.64,0.6,0.53
Mértola,104040209,0.64,0.68,0.71
Moura,104040210,0.72,0.61,0.58
Ourique,104040212,0.73,0.69,0.67
Serpa,104040213,0.69,0.65,0.62
Vidigueira,104040214,0.7,0.7,0.65
Lezíria do Tejo,10305,0.76,0.65,0.57
Almeirim,103051403,0.74,0.62,0.51
Alpiarça,103051404,0.77,0.64,0.53
Azambuja,103051103,0.76,0.68,0.56
Benavente,103051405,0.68,0.61,0.52
Cartaxo,103051406,0.72,0.65,0.6
Chamusca,103051407,0.73,0.66,0.58
Coruche,103051409,0.75,0.65,0.55
Golegã,103051412,0.66,0.61,0.67
Rio Maior,103051414,0.75,0.62,0.51
Salvaterra de Magos,103051415,0.8,0.64,0.55
Santarém,103051416,0.79,0.67,0.61
Algarve,105,0.84,0.77,0.69
Algarve,105,0.84,0.77,0.69
Albufeira,105010801,0.84,0.77,0.72
Alcoutim,105010802,0.88,0.8,0.73
Aljezur,105010803,0.77,0.81,0.71
Castro Marim,105010804,0.88,0.8,0.75
Faro,105010805,0.82,0.72,0.66
Lagoa,105010806,0.83,0.82,0.74
Lagos,105010807,0.82,0.74,0.7
Loulé,105010808,0.87,0.8,0.7
Monchique,105010809,0.79,0.73,0.62
Olhão,105010810,0.82,0.76,0.68
Portimão,105010811,0.81,0.72,0.65
São Brás de Alportel,105010812,0.87,0.82,0.76
Silves,105010813,0.78,0.74,0.68
Tavira,105010814,0.87,0.76,0.67
Vila do Bispo,105010815,0.74,0.78,0.72
Vila Real de Santo António,105010816,0.82,0.81,0.77
Região Autónoma dos Açores,2,0.49,0.44,0.47
Região Autónoma dos Açores,2,0.49,0.44,0.47
Região Autónoma dos Açores,2,0.49,0.44,0.47
Angra do Heroísmo,201014301,0.48,0.41,0.44
Calheta (R.A.A.),201014501,0.4,0.41,0.46
Corvo,201014901,0.43,0.45,0.53
Horta,201014701,0.45,0.39,0.43
Lagoa (R.A.A),201014201,0.52,0.47,0.49
Lajes das Flores,201014801,0.41,0.44,0.45
Lajes do Pico,201014601,0.51,0.46,0.47
Madalena,201014602,0.52,0.47,0.45
Nordeste,201014202,0.49,0.45,0.5
Ponta Delgada,201014203,0.5,0.45,0.45
Povoação,201014204,0.53,0.49,0.52
Ribeira Grande,201014205,0.51,0.45,0.51
Santa Cruz da Graciosa,201014401,0.39,0.5,0.56
Santa Cruz das Flores,201014802,0.38,0.49,0.47
São Roque do Pico,201014603,0.51,0.5,0.49
Velas,201014502,0.48,0.44,0.46
Vila da Praia da Vitória,201014302,0.52,0.44,0.46
Vila do Porto,201014101,0.37,0.39,0.47
Vila Franca do Campo,201014206,0.53,0.47,0.51
Região Autónoma da Madeira,3,0.65,0.67,0.63
Região Autónoma da Madeira,3,0.65,0.67,0.63
Região Autónoma da Madeira,3,0.65,0.67,0.63
Calheta (R.A.M.),301013101,0.65,0.71,0.66
Câmara de Lobos,301013102,0.63,0.7,0.62
Funchal,301013103,0.74,0.79,0.67
Machico,301013104,0.67,0.69,0.63
Ponta do Sol,301013105,0.63,0.7,0.66
Porto Moniz,301013106,0.67,0.62,0.68
Porto Santo,301013201,0.63,0.57,0.48
Ribeira Brava,301013107,0.63,0.6,0.64
Santa Cruz,301013108,0.61,0.7,0.63
Santana,301013109,0.64,0.61,0.56
São Vicente,301013110,0.64,0.65,0.59
