Admin_name,Admin_id,2009,1999,1989
Alcácer do Sal,104011501,1588,2482,2661
Grândola,104011505,1775,2602,4820
Odemira,104010211,3315,5058,9144
Santiago do Cacém,104011509,2520,4387,6132
Sines,104011513,439,618,746
Alto Alentejo,10402,18941,26936,36212
Alter do Chão,104021201,575,778,1090
Arronches,104021202,887,1154,1249
Avis,104021203,814,1130,1311
Campo Maior,104021204,1210,1785,2062
Castelo de Vide,104021205,665,775,974
Crato,104021206,825,1097,1214
Elvas,104021207,1705,2105,2719
Fronteira,104021208,582,684,685
Gavião,104021209,1139,2172,3901
Marvão,104021210,869,1169,1823
Monforte,104021211,404,549,643
Mora,104020707,793,1223,2575
Nisa,104021212,2074,3247,4132
Ponte de Sor,104021213,3423,4977,5683
Portalegre,104021214,2976,4091,6151
Alentejo Central,10403,18787,23360,32089
Alandroal,104030701,1970,2030,2971
Arraiolos,104030702,865,1037,1596
Borba,104030703,1116,1346,1989
Estremoz,104030704,2237,2825,3477
Évora,104030705,2338,3049,3326
Montemor-o-Novo,104030706,1708,2130,3030
Mourão,104030708,735,953,1441
Portel,104030709,1530,2049,2532
Redondo,104030710,1550,1848,1990
Reguengos de Monsaraz,104030711,1885,2537,3835
Sousel,104031215,969,1308,1944
Vendas Novas,104030712,500,643,1731
Viana do Alentejo,104030713,799,797,1294
Vila Viçosa,104030714,585,808,933
Baixo Alentejo,10404,22484,26235,33942
Aljustrel,104040201,961,1375,1898
Almodôvar,104040202,1669,2038,3888
Alvito,104040203,527,548,593
Barrancos,104040204,470,694,797
Beja,104040205,2491,3261,3368
Castro Verde,104040206,724,782,853
Cuba,104040207,1004,1132,947
Ferreira do Alentejo,104040208,1410,1945,2953
Mértola,104040209,1718,1950,3011
Moura,104040210,3869,4258,4566
Ourique,104040212,1242,1689,2943
Serpa,104040213,4988,4940,6389
Vidigueira,104040214,1411,1623,1736
Lezíria do Tejo,10305,22891,39422,64057
Almeirim,103051403,2626,3648,5521
Alpiarça,103051404,1140,1725,2121
Azambuja,103051103,2195,4297,6947
Benavente,103051405,874,1684,3192
Cartaxo,103051406,1341,2758,5639
Chamusca,103051407,967,1467,2396
Coruche,103051409,2155,3550,5459
Golegã,103051412,377,653,1002
Rio Maior,103051414,2783,5708,9137
Salvaterra de Magos,103051415,1256,2371,4301
Santarém,103051416,7177,11561,18342
Algarve,105,29207,47972,69919
Algarve,105,29207,47972,69919
Albufeira,105010801,1801,2924,4560
Alcoutim,105010802,1726,2435,2898
Aljezur,105010803,882,1752,2622
Castro Marim,105010804,1425,2073,2298
Faro,105010805,2453,4097,5588
Lagoa,105010806,706,1283,1866
Lagos,105010807,781,1804,2503
Loulé,105010808,5852,8770,14070
Monchique,105010809,1010,2115,4078
Olhão,105010810,1896,2865,4664
Portimão,105010811,816,1498,2150
São Brás de Alportel,105010812,956,1436,2591
Silves,105010813,4237,7970,10422
Tavira,105010814,3857,5833,8012
Vila do Bispo,105010815,302,411,788
Vila Real de Santo António,105010816,507,706,809
Região Autónoma dos Açores,2,42481,68340,92351
Região Autónoma dos Açores,2,42481,68340,92351
Região Autónoma dos Açores,2,42481,68340,92351
Angra do Heroísmo,201014301,5762,9151,11035
Calheta (R.A.A.),201014501,1787,2296,3123
Corvo,201014901,130,233,267
Horta,201014701,2378,4391,6328
Lagoa (R.A.A),201014201,1535,2320,3191
Lajes das Flores,201014801,574,897,1293
Lajes do Pico,201014601,1604,3388,4203
Madalena,201014602,1807,3575,4326
Nordeste,201014202,1813,2321,4187
Ponta Delgada,201014203,7409,10942,14770
Povoação,201014204,1705,2315,3935
Ribeira Grande,201014205,4696,6861,9934
Santa Cruz da Graciosa,201014401,1178,2790,3454
Santa Cruz das Flores,201014802,720,949,1497
São Roque do Pico,201014603,820,1770,2547
Velas,201014502,1682,2224,3170
Vila da Praia da Vitória,201014302,3895,6399,7809
Vila do Porto,201014101,849,1952,2750
Vila Franca do Campo,201014206,2137,3566,4532
Região Autónoma da Madeira,3,40760,44456,82721
Região Autónoma da Madeira,3,40760,44456,82721
Região Autónoma da Madeira,3,40760,44456,82721
Calheta (R.A.M.),301013101,4111,5282,7902
Câmara de Lobos,301013102,7362,5811,11639
Funchal,301013103,3544,3587,12795
Machico,301013104,4282,4233,8444
Ponta do Sol,301013105,3735,3980,6220
Porto Moniz,301013106,1248,1747,2095
Porto Santo,301013201,581,472,1422
Ribeira Brava,301013107,4500,5720,7426
Santa Cruz,301013108,3625,3967,9736
Santana,301013109,4511,5894,8567
São Vicente,301013110,3261,3763,6475
