Admin_name,Admin_id,2009,1999,1989
Torre de Moncorvo,101070409,1898,2191,2382
Vila Flor,101070410,1587,1887,1629
Vila Nova de Foz Côa,101070914,1993,2422,2502
Vila Real,101071714,2646,3327,4191
Alto Trás-os-Montes,10108,35684,38184,42815
Alfândega da Fé,101080401,1512,1375,1418
Boticas,101081702,1177,1336,1613
Bragança,101080402,3842,4047,4600
Chaves,101081703,4147,5469,6485
Macedo de Cavaleiros,101080405,3353,3184,3199
Miranda do Douro,101080406,1776,1717,1921
Mirandela,101080407,3737,3762,3448
Mogadouro,101080408,2752,2691,2960
Montalegre,101081706,2410,2472,3001
Murça,101081707,1303,1426,1633
Valpaços,101081712,4474,4832,5226
Vila Pouca de Aguiar,101081713,1599,1917,2478
Vimioso,101080411,1420,1413,1752
Vinhais,101080412,2182,2543,3081
Centro,102,82888,127473,185144
Baixo Vouga,10201,8669,15389,26216
Águeda,102010101,1062,2280,3626
Albergaria-a-Velha,102010102,652,991,1908
Anadia,102010103,1470,2744,4000
Aveiro,102010105,652,1167,2634
Estarreja,102010108,733,1105,2357
Ílhavo,102010110,150,284,852
Mealhada,102010111,885,1443,1947
Murtosa,102010112,251,380,539
Oliveira do Bairro,102010114,901,1611,2662
Ovar,102010115,396,625,1431
Sever do Vouga,102010117,419,699,1309
Vagos,102010118,1098,2060,2951
Baixo Mondego,10202,10654,17401,28007
Cantanhede,102020602,2677,4422,6758
Coimbra,102020603,1940,2743,3836
Condeixa-a-Nova,102020604,727,1164,1946
Figueira da Foz,102020605,1152,2166,4457
Mira,102020608,374,927,2001
Montemor-o-Velho,102020610,1821,2868,4036
Penacova,102020613,615,827,1378
Soure,102020615,1348,2284,3595
Pinhal Litoral,10203,5895,12112,19312
Batalha,102031004,469,1040,1497
Leiria,102031009,2113,4626,7157
Marinha Grande,102031010,93,204,477
Pombal,102031015,2399,4735,7810
Porto de Mós,102031016,821,1507,2371
Pinhal Interior Norte,10204,7007,10020,16113
Alvaiázere,102041002,718,1098,1574
Ansião,102041003,1210,1678,1939
Arganil,102040601,643,901,1802
Castanheira de Pêra,102041007,66,68,56
Figueiró dos Vinhos,102041008,253,496,806
Góis,102040606,132,277,472
Lousã,102040607,217,300,593
Miranda do Corvo,102040609,470,823,1288
Oliveira do Hospital,102040611,1043,1581,2204
Pampilhosa da Serra,102040612,380,347,772
Pedrógão Grande,102041013,339,440,994
Penela,102040614,602,758,1161
Tábua,102040616,767,955,1961
Vila Nova de Poiares,102040617,167,298,491
Dão-Lafões,10205,16936,24372,35176
Aguiar da Beira,102050901,788,1067,1331
Carregal do Sal,102051802,637,1017,1454
Castro Daire,102051803,1249,2109,2861
Mangualde,102051806,1358,1720,2726
Mortágua,102051808,678,858,1292
Nelas,102051809,1049,1348,1813
Oliveira de Frades,102051810,782,1105,1564
Penalva do Castelo,102051811,928,1326,1816
Santa Comba Dão,102051814,517,784,1482
São Pedro do Sul,102051816,1447,1689,2716
Sátão,102051817,1155,1607,2239
Tondela,102051821,2163,3414,4648
Vila Nova de Paiva,102051822,428,741,952
Viseu,102051823,2877,4313,6404
Vouzela,102051824,880,1274,1878
Pinhal Interior Sul,10206,4987,7894,11032
Mação,102061413,805,1420,1945
Oleiros,102060506,785,1608,1345
Proença-a-Nova,102060508,1474,1819,2911
Sertã,102060509,1664,2526,3782
Vila de Rei,102060510,259,521,1049
Serra da Estrela,10207,3629,4809,5823
Fornos de Algodres,102070905,662,784,1169
Gouveia,102070906,1245,1562,1860
Seia,102070912,1722,2463,2794
Beira Interior Norte,10208,11978,17225,23259
Almeida,102080902,737,1293,1861
Celorico da Beira,102080903,796,1184,1657
Figueira de Castelo Rodrigo,102080904,1501,1726,2057
Guarda,102080907,1910,3192,5211
Manteigas,102080908,111,194,127
Meda,102080909,1430,1854,2227
Pinhel,102080910,2416,3141,3490
Sabugal,102080911,1352,2606,3869
Trancoso,102080913,1725,2035,2760
Beira Interior Sul,10209,7214,9598,11008
Castelo Branco,102090502,3553,4723,5686
Idanha-a-Nova,102090505,1676,2125,1766
Penamacor,102090507,1128,1638,2328
Vila Velha de Ródão,102090511,857,1112,1228
Cova da Beira,10210,5919,8653,9198
Belmonte,102100501,674,992,1086
Covilhã,102100503,1684,2849,2941
Fundão,102100504,3561,4812,5171
Lisboa e Vale do Tejo,103,39538,60545,96990
Oeste,10301,14034,22954,39434
Alcobaça,103011001,1993,3012,5541
Alenquer,103011101,1497,2703,4442
Arruda dos Vinhos,103011102,500,793,1367
Bombarral,103011005,717,1130,1692
Cadaval,103011104,991,1678,2468
Caldas da Rainha,103011006,1235,2219,3739
Lourinhã,103011108,1313,1979,3235
Mafra,103011109,1882,2562,4705
Nazaré,103011011,200,308,614
Óbidos,103011012,611,1017,1784
Peniche,103011014,395,800,1514
Sobral de Monte Agraço,103011112,400,682,1133
Torres Vedras,103011113,2300,4071,7200
Grande Lisboa,10302,1936,3500,5706
Amadora,103021115,8,16,30
Cascais,103021105,33,80,163
Lisboa,103021106,5,0,0
Loures,103021107,624,951,1767
Odivelas,103021116,35,60,0
Oeiras,103021110,11,32,75
Sintra,103021111,753,1605,2071
Vila Franca de Xira,103021114,467,756,1600
Península de Setúbal,10303,3706,5800,9055
Alcochete,103031502,151,283,514
Almada,103031503,116,163,225
Barreiro,103031504,33,105,232
Moita,103031506,218,350,623
Montijo,103031507,678,1186,1664
Palmela,103031508,1963,2700,3994
Seixal,103031510,54,100,239
Sesimbra,103031511,202,372,556
Setúbal,103031512,291,541,1008
Médio Tejo,10304,9567,13423,21152
Abrantes,103041401,1314,2122,2759
Alcanena,103041402,731,837,1212
Constância,103041408,92,117,150
Entroncamento,103041410,39,44,80
Ferreira do Zêzere,103041411,978,1440,2427
Ourém,103041421,2200,3546,5674
Sardoal,103041417,420,703,714
Tomar,103041418,1901,2490,4788
Torres Novas,103041419,1832,2038,3105
Vila Nova da Barquinha,103041420,60,86,243
Lezíria do Tejo,10305,10295,14868,21643
Almeirim,103051403,1059,1332,1896
Alpiarça,103051404,486,672,761
Azambuja,103051103,898,1588,2448
Benavente,103051405,424,670,1054
Cartaxo,103051406,596,1038,1938
Chamusca,103051407,557,600,837
Coruche,103051409,1031,1423,1916
Golegã,103051412,218,261,352
Rio Maior,103051414,1223,2061,2822
Salvaterra de Magos,103051415,595,916,1335
Santarém,103051416,3208,4307,6284
Alentejo,104,31425,34874,46818
Alentejo Litoral,10401,4175,5585,8727
Alcácer do Sal,104011501,729,862,970
Grândola,104011505,781,1018,2029
Odemira,104010211,1405,1873,3282
Santiago do Cacém,104011509,1091,1623,2172
Sines,104011513,169,209,274
Alto Alentejo,10402,9418,10975,13962
Alter do Chão,104021201,292,337,395
Arronches,104021202,399,476,493
Avis,104021203,384,449,478
Campo Maior,104021204,647,677,697
Castelo de Vide,104021205,336,304,386
Crato,104021206,409,460,528
Elvas,104021207,831,813,924
Fronteira,104021208,255,244,252
Gavião,104021209,536,949,1572
Marvão,104021210,576,558,783
Monforte,104021211,251,250,265
Mora,104020707,374,503,901
Nisa,104021212,1068,1392,1758
Ponte de Sor,104021213,1519,1943,2265
Portalegre,104021214,1541,1620,2265
Alentejo Central,10403,8274,8847,11651
Alandroal,104030701,828,875,1060
Arraiolos,104030702,407,377,576
Borba,104030703,474,511,663
Estremoz,104030704,918,1052,1198
Évora,104030705,1056,1140,1264
Montemor-o-Novo,104030706,865,804,1082
Mourão,104030708,332,362,562
Portel,104030709,674,745,1033
Redondo,104030710,678,626,691
Reguengos de Monsaraz,104030711,810,1002,1334
Sousel,104031215,449,511,702
Vendas Novas,104030712,191,231,669
Viana do Alentejo,104030713,334,306,492
Vila Viçosa,104030714,258,305,325
Baixo Alentejo,10404,9558,9467,12478
Aljustrel,104040201,400,447,607
Almodôvar,104040202,647,660,1276
Alvito,104040203,236,223,224
Barrancos,104040204,228,260,300
Beja,104040205,1192,1184,1219
Castro Verde,104040206,305,249,275
Cuba,104040207,379,419,368
Ferreira do Alentejo,104040208,664,713,999
Mértola,104040209,643,678,1128
Moura,104040210,1645,1544,1596
Ourique,104040212,544,627,1064
Serpa,104040213,2102,1857,2757
Vidigueira,104040214,573,606,665
Algarve,105,12347,18796,25908
Algarve,10501,12347,18796,25908
Albufeira,105010801,765,1156,1846
Alcoutim,105010802,829,1027,1080
Aljezur,105010803,388,709,1011
Castro Marim,105010804,634,918,873
Faro,105010805,975,1543,2007
Lagoa,105010806,296,491,698
Lagos,105010807,347,646,920
Loulé,105010808,2401,3573,5251
Monchique,105010809,404,739,1377
Olhão,105010810,805,1161,1584
Portimão,105010811,343,561,729
São Brás de Alportel,105010812,420,561,945
Silves,105010813,1766,3075,4121
Tavira,105010814,1618,2152,2794
Vila do Bispo,105010815,129,169,353
Vila Real de Santo António,105010816,227,315,319
Região Autónoma dos Açores,2,13511,19230,24612
Região Autónoma dos Açores,201,13511,19230,24612
Região Autónoma dos Açores,20101,13511,19230,24612
Angra do Heroísmo,201014301,1733,2612,3010
Calheta (R.A.A.),201014501,586,646,824
Corvo,201014901,56,65,69
Horta,201014701,855,1264,1699
Lagoa (R.A.A),201014201,425,563,759
Lajes das Flores,201014801,199,305,380
Lajes do Pico,201014601,592,1005,1163
Madalena,201014602,703,1087,1202
Nordeste,201014202,577,672,1149
Ponta Delgada,201014203,2146,2874,3587
Povoação,201014204,537,668,1018
Ribeira Grande,201014205,1389,1707,2329
Santa Cruz da Graciosa,201014401,405,925,1198
Santa Cruz das Flores,201014802,225,302,431
São Roque do Pico,201014603,299,555,748
Velas,201014502,560,644,881
Vila da Praia da Vitória,201014302,1258,1895,2268
Vila do Porto,201014101,347,578,797
Vila Franca do Campo,201014206,619,863,1100
Região Autónoma da Madeira,3,13580,14502,23148
Região Autónoma da Madeira,301,13580,14502,23148
Região Autónoma da Madeira,30101,13580,14502,23148
Calheta (R.A.M.),301013101,1464,1842,2602
Câmara de Lobos,301013102,2149,1802,2817
Funchal,301013103,1160,1335,3296
Machico,301013104,1461,1323,2343
Ponta do Sol,301013105,1225,1258,1776
Porto Moniz,301013106,466,583,818
Porto Santo,301013201,134,136,362
Ribeira Brava,301013107,1485,1691,1998
Santa Cruz,301013108,1071,1092,2575
Santana,301013109,1765,2031,2611
São Vicente,301013110,1200,1409,1950
