Oliveira de Frades,102051810,23.9,40.9
Penalva do Castelo,102051811,26.7,43.1
Santa Comba Dão,102051814,10.4,20.6
São Pedro do Sul,102051816,20.7,30.7
Sátão,102051817,24.3,39.3
Tondela,102051821,19.6,34.3
Vila Nova de Paiva,102051822,17.2,39
Viseu,102051823,7.4,15
Vouzela,102051824,23.2,36.8
Pinhal Interior Sul,10206,31.8,45.1
Mação,102061413,26.7,40.1
Oleiros,102060506,35.4,58
Proença-a-Nova,102060508,44.7,49.8
Sertã,102060509,27.5,41.1
Vila de Rei,102060510,21.2,38.4
Serra da Estrela,10207,18.3,25.9
Fornos de Algodres,102070905,30.7,37.9
Gouveia,102070906,20,24.8
Seia,102070912,15,24.1
Beira Interior Norte,10208,26.1,38.6
Almeida,102080902,26,38.3
Celorico da Beira,102080903,25.6,38.4
Figueira de Castelo Rodrigo,102080904,49.2,59.3
Guarda,102080907,11.3,20
Manteigas,102080908,6.1,12
Meda,102080909,55.7,70.6
Pinhel,102080910,59.2,72.3
Sabugal,102080911,22.1,42.2
Trancoso,102080913,40.2,51
Beira Interior Sul,10209,21.9,28.9
Castelo Branco,102090502,14.7,20.6
Idanha-a-Nova,102090505,34.5,41.5
Penamacor,102090507,43.2,54
Vila Velha de Ródão,102090511,62.9,61.7
Cova da Beira,10210,14.7,24.1
Belmonte,102100501,17.4,34.6
Covilhã,102100503,7.7,14
Fundão,102100504,25.7,39.1
Lisboa e Vale do Tejo,103,2.6,4.9
Oeste,10301,8.5,15.1
Alcobaça,103011001,9.4,17.6
Alenquer,103011101,8,22.5
Arruda dos Vinhos,103011102,10,20.8
Bombarral,103011005,15,25.6
Cadaval,103011104,17.8,35.9
Caldas da Rainha,103011006,6.4,15.2
Lourinhã,103011108,12.8,26.6
Mafra,103011109,6.5,5.7
Nazaré,103011011,3.2,6.5
Óbidos,103011012,15.1,29.1
Peniche,103011014,3.9,9.1
Sobral de Monte Agraço,103011112,9.1,22.7
Torres Vedras,103011113,8.4,17.3
Grande Lisboa,10302,0.2,0.5
Amadora,103021115,0,0
Cascais,103021105,0,0.1
Lisboa,103021106,0,0
Loures,103021107,0.8,1.2
Odivelas,103021116,0.1,0.1
Oeiras,103021110,0,0
Sintra,103021111,0.4,3.5
Vila Franca de Xira,103021114,0.8,4.1
Península de Setúbal,10303,1.1,2.2
Alcochete,103031502,1.9,6.7
Almada,103031503,0.2,0.2
Barreiro,103031504,0.1,0.4
Moita,103031506,0.8,1.5
Montijo,103031507,3.3,8.4
Palmela,103031508,7.2,14.5
Seixal,103031510,0.1,0.2
Sesimbra,103031511,0.8,2.6
Setúbal,103031512,0.5,1.2
Médio Tejo,10304,9.9,15.5
Abrantes,103041401,7.4,11.4
Alcanena,103041402,11.6,15.8
Constância,103041408,6.2,6.7
Entroncamento,103041410,0.4,0.6
Ferreira do Zêzere,103041411,25.2,38.7
Ourém,103041421,10.4,21
Sardoal,103041417,25.1,44.3
Tomar,103041418,10.6,14.6
Torres Novas,103041419,13,15.4
Vila Nova da Barquinha,103041420,1.3,3.1
Lezíria do Tejo,10305,9.2,16.4
Almeirim,103051403,11.4,16.7
Alpiarça,103051404,13.8,21.6
Azambuja,103051103,10,20.8
Benavente,103051405,3,7.5
Cartaxo,103051406,5.3,11.9
Chamusca,103051407,8.9,12.7
Coruche,103051409,11.1,16.3
Golegã,103051412,6.9,11.3
Rio Maior,103051414,12.7,27.1
Salvaterra de Magos,103051415,5.8,11.9
Santarém,103051416,11.3,18.2
Alentejo,104,13.9,17.5
Alentejo Litoral,10401,10.2,15.6
Alcácer do Sal,104011501,12.4,17.8
Grândola,104011505,12.8,18
Odemira,104010211,13.1,19.8
Santiago do Cacém,104011509,8.6,14.5
Sines,104011513,3.2,4.7
Alto Alentejo,10402,16.4,21.5
Alter do Chão,104021201,17.1,19.9
Arronches,104021202,27.7,34.6
Avis,104021203,16.7,22.1
Campo Maior,104021204,14.6,21.7
Castelo de Vide,104021205,18.1,20.4
Crato,104021206,22.8,25.2
Elvas,104021207,7.8,9.2
Fronteira,104021208,18.8,18.6
Gavião,104021209,29,43.8
Marvão,104021210,25.5,29.3
Monforte,104021211,13.2,16.3
Mora,104020707,15.4,21.3
Nisa,104021212,28,38.1
Ponte de Sor,104021213,20.2,28.2
Portalegre,104021214,12.7,16.1
Alentejo Central,10403,11.2,13.8
Alandroal,104030701,33,31.3
Arraiolos,104030702,12.2,13.8
Borba,104030703,15.2,17.6
Estremoz,104030704,15.6,18.5
Évora,104030705,4.3,5.5
Montemor-o-Novo,104030706,9.3,11.8
Mourão,104030708,21.6,30.4
Portel,104030709,21.6,29.5
Redondo,104030710,23.5,25.6
Reguengos de Monsaraz,104030711,16.3,22.8
Sousel,104031215,18.5,23
Vendas Novas,104030712,4,5.8
Viana do Alentejo,104030713,14,14.6
Vila Viçosa,104030714,6.8,9.3
Baixo Alentejo,10404,18,19.8
Aljustrel,104040201,10.3,13.1
Almodôvar,104040202,23.7,25.3
Alvito,104040203,19.5,21.1
Barrancos,104040204,28.1,36.4
Beja,104040205,7.3,9.3
Castro Verde,104040206,9.3,10.6
Cuba,104040207,21.6,23
Ferreira do Alentejo,104040208,17.6,21.8
Mértola,104040209,23.9,22.6
Moura,104040210,24.1,26.1
Ourique,104040212,23.3,27.8
Serpa,104040213,32.7,30
Vidigueira,104040214,24.1,26.8
Algarve,105,6.7,12.8
Algarve,105,6.7,12.8
Albufeira,105010801,4.5,10.1
Alcoutim,105010802,56.9,64.5
Aljezur,105010803,16.5,34.5
Castro Marim,105010804,22.1,32.2
Faro,105010805,4.2,7.4
Lagoa,105010806,2.8,6.6
Lagos,105010807,2.7,7.5
Loulé,105010808,8.9,15.7
Monchique,105010809,17.1,31.2
Olhão,105010810,4.2,7.3
Portimão,105010811,1.6,3.5
São Brás de Alportel,105010812,7.4,15.5
Silves,105010813,11.6,24.5
Tavira,105010814,15.2,24.1
Vila do Bispo,105010815,5.6,7.9
Vila Real de Santo António,105010816,2.7,4.2
Região Autónoma dos Açores,2,17.3,28.8
Região Autónoma dos Açores,2,17.3,28.8
Região Autónoma dos Açores,2,17.3,28.8
Angra do Heroísmo,201014301,16.5,618.3
Calheta (R.A.A.),201014501,46.7,38.4
Corvo,201014901,26,2.1
Horta,201014701,15.2,6.8
Lagoa (R.A.A),201014201,9.7,57
Lajes das Flores,201014801,37.4,13.5
Lajes do Pico,201014601,34.5,61.3
Madalena,201014602,28.4,26.1
Nordeste,201014202,34,42.2
Ponta Delgada,201014203,11.6,31.3
Povoação,201014204,24.9,11.6
Ribeira Grande,201014205,15,1677.5
Santa Cruz da Graciosa,201014401,23.9,55.5
Santa Cruz das Flores,201014802,27.6,3.4
São Roque do Pico,201014603,21.1,34
Velas,201014502,29.9,62.8
Vila da Praia da Vitória,201014302,18.6,261.7
Vila do Porto,201014101,15.2,41.7
Vila Franca do Campo,201014206,19.1,24.3
Região Autónoma da Madeira,3,16.5,18.5
Região Autónoma da Madeira,3,16.5,18.5
Região Autónoma da Madeira,3,16.5,18.5
Calheta (R.A.M.),301013101,34.7,44.9
Câmara de Lobos,301013102,20.3,17.4
Funchal,301013103,3.6,3.5
Machico,301013104,20.5,19.8
Ponta do Sol,301013105,44.5,49.9
Porto Moniz,301013106,47.7,59.8
Porto Santo,301013201,13.3,10.7
Ribeira Brava,301013107,35.8,46.5
Santa Cruz,301013108,9.5,14.3
Santana,301013109,55,67.1
São Vicente,301013110,53.5,60.6
