Muni_ID,ID,Muni,Volume_regions
807,1500807,Lagos,South
808,1500808,Loul�,South
809,1500809,Monchique,South
810,1500810,Olh�o,South
811,1500811,Portim�o,South
812,1500812,S�o Br�s de Alportel,South
813,1500813,Silves,South
814,1500814,Tavira,South
815,1500815,Vila do Bispo,South
816,1500816,Vila Real de Santo Ant�nio,South
101,1610101,�gueda,Littoral_north
102,1610102,Albergaria-a-Velha,Littoral_north
103,1610103,Anadia,Littoral_north
105,1610105,Aveiro,Littoral_north
108,1610108,Estarreja,Littoral_north
110,1610110,�lhavo,Littoral_north
111,1610111,Mealhada,Littoral_north
112,1610112,Murtosa,Littoral_north
114,1610114,Oliveira do Bairro,Littoral_north
115,1610115,Ovar,Littoral_north
117,1610117,Sever do Vouga,Littoral_north
118,1610118,Vagos,Littoral_north
602,1620602,Cantanhede,Littoral_north
603,1620603,Coimbra,Littoral_north
604,1620604,Condeixa-a-Nova,Littoral_north
605,1620605,Figueira da Foz,Littoral_north
608,1620608,Mira,Littoral_north
610,1620610,Montemor-o-Velho,Littoral_north
613,1620613,Penacova,Littoral_north
615,1620615,Soure,Littoral_north
1004,1631004,Batalha,Littoral_north
1009,1631009,Leiria,Littoral_north
1010,1631010,Marinha Grande,Littoral_north
1015,1631015,Pombal,Littoral_north
1016,1631016,Porto de M�s,Littoral_north
601,1640601,Arganil,Littoral_north
606,1640606,G�is,Littoral_north
607,1640607,Lous�,Littoral_north
609,1640609,Miranda do Corvo,Littoral_north
611,1640611,Oliveira do Hospital,Littoral_north
612,1640612,Pampilhosa da Serra,Littoral_north
614,1640614,Penela,Littoral_north
616,1640616,T�bua,Littoral_north
617,1640617,Vila Nova de Poiares,Littoral_north
1002,1641002,Alvai�zere,Littoral_north
1003,1641003,Ansi�o,Littoral_north
1007,1641007,Castanheira de P�ra,Interior_north
1008,1641008,Figueir� dos Vinhos,Littoral_north
1013,1641013,Pedr�g�o Grande,Interior_north
901,1650901,Aguiar da Beira,Littoral_north
1802,1651802,Carregal do Sal,Littoral_north
1803,1651803,Castro Daire,Littoral_north
1806,1651806,Mangualde,Littoral_north
1808,1651808,Mort�gua,Littoral_north
1809,1651809,Nelas,Littoral_north
1810,1651810,Oliveira de Frades,Littoral_north
1811,1651811,Penalva do Castelo,Littoral_north
1814,1651814,Santa Comba D�o,Littoral_north
1816,1651816,S�o Pedro do Sul,Littoral_north
1817,1651817,S�t�o,Littoral_north
1821,1651821,Tondela,Littoral_north
1822,1651822,Vila Nova de Paiva,Littoral_north
1823,1651823,Viseu,Littoral_north
1824,1651824,Vouzela,Littoral_north
506,1660506,Oleiros,Interior_north
508,1660508,Proen�a-a-Nova,Interior_north
509,1660509,Sert�,Interior_north
510,1660510,Vila de Rei,Interior_north
1413,1661413,Ma��o,Interior_north
905,1670905,Fornos de Algodres,Interior_north
906,1670906,Gouveia,Interior_north
912,1670912,Seia,Interior_north
902,1680902,Almeida,Interior_north
903,1680903,Celorico da Beira,Interior_north
904,1680904,Figueira de Castelo Rodrigo,Interior_north
907,1680907,Guarda,Interior_north
908,1680908,Manteigas,Interior_north
909,1680909,M�da,Interior_north
910,1680910,Pinhel,Interior_north
911,1680911,Sabugal,Interior_north
913,1680913,Trancoso,Interior_north
502,1690502,Castelo Branco,Interior_north
505,1690505,Idanha-a-Nova,Interior_north
507,1690507,Penamacor,Interior_north
511,1690511,Vila Velha de R�d�o,Interior_north
1105,1711105,Cascais,Littoral_north
1106,1711106,Lisboa,Littoral_north
1107,1711107,Loures,Littoral_north
1109,1711109,Mafra,Littoral_north
1110,1711110,Oeiras,Littoral_north
1111,1711111,Sintra,Littoral_north
1114,1711114,Vila Franca de Xira,South
1115,1711115,Amadora,Littoral_north
1116,1711116,Odivelas,Littoral_north
1502,1721502,Alcochete,South
1503,1721503,Almada,South
1504,1721504,Barreiro,South
1506,1721506,Moita,South
1507,1721507,Montijo,South
1508,1721508,Palmela,South
1510,1721510,Seixal,South
1511,1721511,Sesimbra,South
1512,1721512,Set�bal,South
211,1810211,Odemira,South
1501,1811501,Alc�cer do Sal,South
1505,1811505,Gr�ndola,South
1509,1811509,Santiago do Cac�m,South
1513,1811513,Sines,South
707,1820707,Mora,South
1201,1821201,Alter do Ch�o,South
1202,1821202,Arronches,South
1203,1821203,Avis,South
1204,1821204,Campo Maior,South
1205,1821205,Castelo de Vide,South
1206,1821206,Crato,South
1207,1821207,Elvas,South
1208,1821208,Fronteira,South
1209,1821209,Gavi�o,South
1210,1821210,Marv�o,South
1211,1821211,Monforte,South
1212,1821212,Nisa,South
1213,1821213,Ponte de Sor,South
1214,1821214,Portalegre,South
701,1830701,Alandroal,South
702,1830702,Arraiolos,South
703,1830703,Borba,South
704,1830704,Estremoz,South
705,1830705,�vora,South
706,1830706,Montemor-o-Novo,South
708,1830708,Mour�o,South
709,1830709,Portel,South
710,1830710,Redondo,South
711,1830711,Reguengos de Monsaraz,South
712,1830712,Vendas Novas,South
713,1830713,Viana do Alentejo,South
714,1830714,Vila Vi�osa,South
1215,1831215,Sousel,South
201,1840201,Aljustrel,South
202,1840202,Almod�var,South
203,1840203,Alvito,South
204,1840204,Barrancos,South
205,1840205,Beja,South
206,1840206,Castro Verde,South
207,1840207,Cuba,South
208,1840208,Ferreira do Alentejo,South
209,1840209,M�rtola,South
210,1840210,Moura,South
212,1840212,Ourique,South
213,1840213,Serpa,South
214,1840214,Vidigueira,South
1103,1851103,Azambuja,Littoral_north
1403,1851403,Almeirim,South
1404,1851404,Alpiar�a,South
1405,1851405,Benavente,South
1406,1851406,Cartaxo,South
1407,1851407,Chamusca,South
1409,1851409,Coruche,South
1412,1851412,Goleg�,South
1414,1851414,Rio Maior,Littoral_north
1415,1851415,Salvaterra de Magos,South
1416,1851416,Santar�m,South
501,16A0501,Belmonte,Interior_north
503,16A0503,Covilh�,Interior_north
504,16A0504,Fund�o,Interior_north
1001,16B1001,Alcoba�a,Littoral_north
1005,16B1005,Bombarral,Littoral_north
1006,16B1006,Caldas da Rainha,Littoral_north
1011,16B1011,Nazar�,Littoral_north
1012,16B1012,�bidos,Littoral_north
1014,16B1014,Peniche,Littoral_north
1101,16B1101,Alenquer,Littoral_north
1102,16B1102,Arruda dos Vinhos,Littoral_north
1104,16B1104,Cadaval,Littoral_north
1108,16B1108,Lourinh�,Littoral_north
1112,16B1112,Sobral de Monte Agra�o,Littoral_north
1113,16B1113,Torres Vedras,Littoral_north
1401,16C1401,Abrantes,South
1402,16C1402,Alcanena,Littoral_north
1408,16C1408,Const�ncia,South
1410,16C1410,Entroncamento,South
1411,16C1411,Ferreira do Z�zere,Littoral_north
1417,16C1417,Sardoal,Interior_north
1418,16C1418,Tomar,Littoral_north
1419,16C1419,Torres Novas,Littoral_north
1420,16C1420,Vila Nova da Barquinha,South
1421,16C1421,Our�m,Littoral_north
