"ID","ID_name","type"
"EF_4_4","Permanently_irrigated_1991","Dynamic"
"EF_4_5","Permanently_irrigated_1992","Dynamic"
"EF_4_6","Permanently_irrigated_1993","Dynamic"
"EF_4_7","Permanently_irrigated_1994","Dynamic"
"EF_4_8","Permanently_irrigated_1995","Dynamic"
"EF_4_9","Permanently_irrigated_1996","Dynamic"
"EF_4_10","Permanently_irrigated_1997","Dynamic"
"EF_4_11","Permanently_irrigated_1998","Dynamic"
"EF_4_12","Permanently_irrigated_1999","Dynamic"
"EF_4_13","Permanently_irrigated_2000","Dynamic"
"EF_4_14","Permanently_irrigated_2001","Dynamic"
"EF_4_15","Permanently_irrigated_2002","Dynamic"
"EF_4_16","Permanently_irrigated_2003","Dynamic"
"EF_4_17","Permanently_irrigated_2004","Dynamic"
"EF_4_18","Permanently_irrigated_2005","Dynamic"
"EF_4_19","Permanently_irrigated_2006","Dynamic"
"EF_4_20","Permanently_irrigated_2007","Dynamic"
"EF_4_21","Permanently_irrigated_2008","Dynamic"
"EF_4_22","Permanently_irrigated_2009","Dynamic"
"EF_4_23","Permanently_irrigated_2010","Dynamic"
"EF_4_24","Permanently_irrigated_2011","Dynamic"
"EF_4_25","Permanently_irrigated_2012","Dynamic"
"EF_4_26","Permanently_irrigated_2013","Dynamic"
"EF_4_27","Permanently_irrigated_2014","Dynamic"
"EF_4_28","Permanently_irrigated_2015","Dynamic"
"EF_4_29","Permanently_irrigated_2016","Dynamic"
"EF_4_30","Permanently_irrigated_2017","Dynamic"
"EF_5_0","Rice_1987","Dynamic"
"EF_5_1","Rice_1988","Dynamic"
"EF_5_2","Rice_1989","Dynamic"
"EF_5_3","Rice_1990","Dynamic"
"EF_5_4","Rice_1991","Dynamic"
"EF_5_5","Rice_1992","Dynamic"
"EF_5_6","Rice_1993","Dynamic"
"EF_5_7","Rice_1994","Dynamic"
"EF_5_8","Rice_1995","Dynamic"
"EF_5_9","Rice_1996","Dynamic"
"EF_5_10","Rice_1997","Dynamic"
"EF_5_11","Rice_1998","Dynamic"
"EF_5_12","Rice_1999","Dynamic"
"EF_5_13","Rice_2000","Dynamic"
"EF_5_14","Rice_2001","Dynamic"
"EF_5_15","Rice_2002","Dynamic"
"EF_5_16","Rice_2003","Dynamic"
"EF_5_17","Rice_2004","Dynamic"
"EF_5_18","Rice_2005","Dynamic"
"EF_5_19","Rice_2006","Dynamic"
"EF_5_20","Rice_2007","Dynamic"
"EF_5_21","Rice_2008","Dynamic"
"EF_5_22","Rice_2009","Dynamic"
"EF_5_23","Rice_2010","Dynamic"
"EF_5_24","Rice_2011","Dynamic"
"EF_5_25","Rice_2012","Dynamic"
"EF_5_26","Rice_2013","Dynamic"
"EF_5_27","Rice_2014","Dynamic"
"EF_5_28","Rice_2015","Dynamic"
"EF_5_29","Rice_2016","Dynamic"
"EF_5_30","Rice_2017","Dynamic"
"EF_6_0","Vineyards_1987","Dynamic"
"EF_6_1","Vineyards_1988","Dynamic"
"EF_6_2","Vineyards_1989","Dynamic"
"EF_6_3","Vineyards_1990","Dynamic"
"EF_6_4","Vineyards_1991","Dynamic"
"EF_6_5","Vineyards_1992","Dynamic"
"EF_6_6","Vineyards_1993","Dynamic"
"EF_6_7","Vineyards_1994","Dynamic"
"EF_6_8","Vineyards_1995","Dynamic"
"EF_6_9","Vineyards_1996","Dynamic"
"EF_6_10","Vineyards_1997","Dynamic"
"EF_6_11","Vineyards_1998","Dynamic"
"EF_6_12","Vineyards_1999","Dynamic"
"EF_6_13","Vineyards_2000","Dynamic"
"EF_6_14","Vineyards_2001","Dynamic"
"EF_6_15","Vineyards_2002","Dynamic"
"EF_6_16","Vineyards_2003","Dynamic"
"EF_6_17","Vineyards_2004","Dynamic"
"EF_6_18","Vineyards_2005","Dynamic"
"EF_6_19","Vineyards_2006","Dynamic"
"EF_6_20","Vineyards_2007","Dynamic"
"EF_6_21","Vineyards_2008","Dynamic"
"EF_6_22","Vineyards_2009","Dynamic"
"EF_6_23","Vineyards_2010","Dynamic"
"EF_6_24","Vineyards_2011","Dynamic"
"EF_6_25","Vineyards_2012","Dynamic"
"EF_6_26","Vineyards_2013","Dynamic"
"EF_6_27","Vineyards_2014","Dynamic"
"EF_6_28","Vineyards_2015","Dynamic"
"EF_6_29","Vineyards_2016","Dynamic"
"EF_6_30","Vineyards_2017","Dynamic"
"EF_7_0","Non_irrigated_1987","Dynamic"
"EF_7_1","Non_irrigated_1988","Dynamic"
"EF_7_2","Non_irrigated_1989","Dynamic"
"EF_7_3","Non_irrigated_1990","Dynamic"
"EF_7_4","Non_irrigated_1991","Dynamic"
"EF_7_5","Non_irrigated_1992","Dynamic"
"EF_7_6","Non_irrigated_1993","Dynamic"
"EF_7_7","Non_irrigated_1994","Dynamic"
"EF_7_8","Non_irrigated_1995","Dynamic"
"EF_7_9","Non_irrigated_1996","Dynamic"
"EF_7_10","Non_irrigated_1997","Dynamic"
"EF_7_11","Non_irrigated_1998","Dynamic"
"EF_7_12","Non_irrigated_1999","Dynamic"
"EF_7_13","Non_irrigated_2000","Dynamic"
"EF_7_14","Non_irrigated_2001","Dynamic"
"EF_7_15","Non_irrigated_2002","Dynamic"
"EF_7_16","Non_irrigated_2003","Dynamic"
"EF_7_17","Non_irrigated_2004","Dynamic"
"EF_7_18","Non_irrigated_2005","Dynamic"
"EF_7_19","Non_irrigated_2006","Dynamic"
"EF_7_20","Non_irrigated_2007","Dynamic"
"EF_7_21","Non_irrigated_2008","Dynamic"
"EF_7_22","Non_irrigated_2009","Dynamic"
"EF_7_23","Non_irrigated_2010","Dynamic"
"EF_7_24","Non_irrigated_2011","Dynamic"
"EF_7_25","Non_irrigated_2012","Dynamic"
"EF_7_26","Non_irrigated_2013","Dynamic"
"EF_7_27","Non_irrigated_2014","Dynamic"
"EF_7_28","Non_irrigated_2015","Dynamic"
"EF_7_29","Non_irrigated_2016","Dynamic"
"EF_7_30","Non_irrigated_2017","Dynamic"
"EF_8_0","PREC_1987","Dynamic"
"EF_8_1","PREC_1988","Dynamic"
"EF_8_2","PREC_1989","Dynamic"
"EF_8_3","PREC_1990","Dynamic"
"EF_8_4","PREC_1991","Dynamic"
"EF_8_5","PREC_1992","Dynamic"
"EF_8_6","PREC_1993","Dynamic"
"EF_8_7","PREC_1994","Dynamic"
"EF_8_8","PREC_1995","Dynamic"
"EF_8_9","PREC_1996","Dynamic"
"EF_8_10","PREC_1997","Dynamic"
"EF_8_11","PREC_1998","Dynamic"
"EF_8_12","PREC_1999","Dynamic"
"EF_8_13","PREC_2000","Dynamic"
"EF_8_14","PREC_2001","Dynamic"
"EF_8_15","PREC_2002","Dynamic"
"EF_8_16","PREC_2003","Dynamic"
"EF_8_17","PREC_2004","Dynamic"
"EF_8_18","PREC_2005","Dynamic"
"EF_8_19","PREC_2006","Dynamic"
"EF_8_20","PREC_2007","Dynamic"
"EF_8_21","PREC_2008","Dynamic"
"EF_8_22","PREC_2009","Dynamic"
"EF_8_23","PREC_2010","Dynamic"
"EF_8_24","PREC_2011","Dynamic"
"EF_8_25","PREC_2012","Dynamic"
"EF_8_26","PREC_2013","Dynamic"
"EF_8_27","PREC_2014","Dynamic"
"EF_8_28","PREC_2015","Dynamic"
"EF_8_29","PREC_2016","Dynamic"
"EF_8_30","PREC_2017","Dynamic"
"EF_9_0","TEMP_MAX_1987","Dynamic"
"EF_9_1","TEMP_MAX_1988","Dynamic"
"EF_9_2","TEMP_MAX_1989","Dynamic"
"EF_9_3","TEMP_MAX_1990","Dynamic"
"EF_9_4","TEMP_MAX_1991","Dynamic"
"EF_9_5","TEMP_MAX_1992","Dynamic"
"EF_9_6","TEMP_MAX_1993","Dynamic"
"EF_9_7","TEMP_MAX_1994","Dynamic"
"EF_9_8","TEMP_MAX_1995","Dynamic"
"EF_9_9","TEMP_MAX_1996","Dynamic"
"EF_9_10","TEMP_MAX_1997","Dynamic"
"EF_9_11","TEMP_MAX_1998","Dynamic"
"EF_9_12","TEMP_MAX_1999","Dynamic"
"EF_9_13","TEMP_MAX_2000","Dynamic"
"EF_9_14","TEMP_MAX_2001","Dynamic"
"EF_9_15","TEMP_MAX_2002","Dynamic"
"EF_9_16","TEMP_MAX_2003","Dynamic"
"EF_9_17","TEMP_MAX_2004","Dynamic"
"EF_9_18","TEMP_MAX_2005","Dynamic"
"EF_9_19","TEMP_MAX_2006","Dynamic"
"EF_9_20","TEMP_MAX_2007","Dynamic"
"EF_9_21","TEMP_MAX_2008","Dynamic"
"EF_9_22","TEMP_MAX_2009","Dynamic"
"EF_9_23","TEMP_MAX_2010","Dynamic"
"EF_9_24","TEMP_MAX_2011","Dynamic"
"EF_9_25","TEMP_MAX_2012","Dynamic"
"EF_9_26","TEMP_MAX_2013","Dynamic"
"EF_9_27","TEMP_MAX_2014","Dynamic"
"EF_9_28","TEMP_MAX_2015","Dynamic"
"EF_9_29","TEMP_MAX_2016","Dynamic"
"EF_9_30","TEMP_MAX_2017","Dynamic"
"EF_10_0","TEMP_MIN_1987","Dynamic"
"EF_10_1","TEMP_MIN_1988","Dynamic"
"EF_10_2","TEMP_MIN_1989","Dynamic"
"EF_10_3","TEMP_MIN_1990","Dynamic"
"EF_10_4","TEMP_MIN_1991","Dynamic"
"EF_10_5","TEMP_MIN_1992","Dynamic"
"EF_10_6","TEMP_MIN_1993","Dynamic"
"EF_10_7","TEMP_MIN_1994","Dynamic"
"EF_10_8","TEMP_MIN_1995","Dynamic"
"EF_10_9","TEMP_MIN_1996","Dynamic"
"EF_10_10","TEMP_MIN_1997","Dynamic"
"EF_10_11","TEMP_MIN_1998","Dynamic"
"EF_10_12","TEMP_MIN_1999","Dynamic"
"EF_10_13","TEMP_MIN_2000","Dynamic"
"EF_10_14","TEMP_MIN_2001","Dynamic"
"EF_10_15","TEMP_MIN_2002","Dynamic"
"EF_10_16","TEMP_MIN_2003","Dynamic"
"EF_10_17","TEMP_MIN_2004","Dynamic"
"EF_10_18","TEMP_MIN_2005","Dynamic"
"EF_10_19","TEMP_MIN_2006","Dynamic"
"EF_10_20","TEMP_MIN_2007","Dynamic"
"EF_10_21","TEMP_MIN_2008","Dynamic"
"EF_10_22","TEMP_MIN_2009","Dynamic"
"EF_10_23","TEMP_MIN_2010","Dynamic"
"EF_10_24","TEMP_MIN_2011","Dynamic"
"EF_10_25","TEMP_MIN_2012","Dynamic"
"EF_10_26","TEMP_MIN_2013","Dynamic"
"EF_10_27","TEMP_MIN_2014","Dynamic"
"EF_10_28","TEMP_MIN_2015","Dynamic"
"EF_10_29","TEMP_MIN_2016","Dynamic"
"EF_10_30","TEMP_MIN_2017","Dynamic"
"EF_11_0","TEMP_AVG_1987","Dynamic"
"EF_11_1","TEMP_AVG_1988","Dynamic"
"EF_11_2","TEMP_AVG_1989","Dynamic"
"EF_11_3","TEMP_AVG_1990","Dynamic"
"EF_11_4","TEMP_AVG_1991","Dynamic"
"EF_11_5","TEMP_AVG_1992","Dynamic"
"EF_11_6","TEMP_AVG_1993","Dynamic"
"EF_11_7","TEMP_AVG_1994","Dynamic"
"EF_11_8","TEMP_AVG_1995","Dynamic"
"EF_11_9","TEMP_AVG_1996","Dynamic"
"EF_11_10","TEMP_AVG_1997","Dynamic"
"EF_11_11","TEMP_AVG_1998","Dynamic"
"EF_11_12","TEMP_AVG_1999","Dynamic"
"EF_11_13","TEMP_AVG_2000","Dynamic"
"EF_11_14","TEMP_AVG_2001","Dynamic"
"EF_11_15","TEMP_AVG_2002","Dynamic"
"EF_11_16","TEMP_AVG_2003","Dynamic"
"EF_11_17","TEMP_AVG_2004","Dynamic"
"EF_11_18","TEMP_AVG_2005","Dynamic"
"EF_11_19","TEMP_AVG_2006","Dynamic"
"EF_11_20","TEMP_AVG_2007","Dynamic"
"EF_11_21","TEMP_AVG_2008","Dynamic"
"EF_11_22","TEMP_AVG_2009","Dynamic"
"EF_11_23","TEMP_AVG_2010","Dynamic"
"EF_11_24","TEMP_AVG_2011","Dynamic"
"EF_11_25","TEMP_AVG_2012","Dynamic"
"EF_11_26","TEMP_AVG_2013","Dynamic"
"EF_11_27","TEMP_AVG_2014","Dynamic"
"EF_11_28","TEMP_AVG_2015","Dynamic"
"EF_11_29","TEMP_AVG_2016","Dynamic"
"EF_11_30","TEMP_AVG_2017","Dynamic"
"EF_12","Distance_dams","Static"
"EF_13","Distance_ocean","Static"
"EF_14","Distance_rivers","Static"
"EF_15","Distance_urban","Static"
"EF_16","MRB_roads","Static"
"EF_17","X500m.Aspect_fine.tif","Static"
"EF_18","X500m.Elevation.tif","Static"
"EF_19","X500m.GDP_PT_2010.tif","Static"
"EF_20","X500m.PopDensity.tif","Static"
"EF_21","X500m.Slope_fine.tif","Static"
"EF_22","X500m.SOC_PT.tif","Static"
"EF_23","X500m.soil_pH_fine.tif","Static"
"EF_24","X500m.SoilTexture_fine.tif","Static"
"EF_25","X500m.MaxTemp_WarmMonth.tif","Static"
"EF_26","X500m.Mean_diurnal_range.tif","Static"
"EF_27","X500m.MinTemp_ColdMonth.tif","Static"
"EF_28","X500m.Precipitation_ColdQuarter.tif","Static"
"EF_29","X500m.Precipitation_DryMonth.tif","Static"
"EF_30","X500m.Precipitation_DryQuarter.tif","Static"
"EF_31","X500m.Precipitation_sum.tif","Static"
"EF_32","X500m.Precipitation_WarmQuarter.tif","Static"
"EF_33","X500m.Precipitation_WetMonth.tif","Static"
"EF_34","X500m.Precipitation_WetQuarter.tif","Static"
"EF_35","X500m.Srad_avg.tif","Static"
"EF_36","X500m.Tavg_avg.tif","Static"
"EF_37","X500m.Tmax_avg.tif","Static"
"EF_38","X500m.Tmin_avg.tif","Static"
