stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
24I.53,AFLUENTE DO RIO XARRAMA,SADO,-,197083.33,150796.02,38.32429,-8.16645,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,BARRANCO DO ANEL,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
10H.03,AGADÃO,VOUGA/RIBEIRAS COSTEIRAS,115,184105,397394,40.544644,-8.321531,ARH-CENTRO,AVEIRO,ÁGUEDA,AGADÃO,RIO AGADAO,35.23,59.05,13/02/2001,-,Fluxo,ATIVA
05G.14,AGRAS DE OLIVEIRA,AVE,-,-,-,41.37077,-8.34949,ARH-NORTE,BRAGA,GUIMARÃES,MOREIRA DE CÓNEGOS,,-,-,-,-,-,-
03O.50,AGROCHÃO,DOURO,430,293052,525277,41.6915,-7.0154,UTAD,BRAGANÇA,VINHAIS,AGROCHÃO,,-,-,20/05/2010,-,DQA_ECOL_VIG,ATIVA
05P.52,ALAMBIQUES,DOURO,550,299061,487661,41.3521,-6.9494,UTAD,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,,-,-,27/05/2010,-,DQA_ECOL_VIG,ATIVA
19O.10,ALB. ABRILONGO,GUADIANA,-,287149,237348,39.0996,-7.12567,ARH-ALENTEJO,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,RIBEIRA DO ABRILONGO,-,-,23/08/2009,-,DQA_ECOL_OPER,ATIVA
19O.10C,ALB. ABRILONGO (C),GUADIANA,-,287141,237279,39.09739,-7.12463,ARH-ALENTEJO,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,RIBEIRA DO ABRILONGO,-,-,23/08/2009,-,DQA_ECOL_VIG,ATIVA
11H.05,ALB. AGUIEIRA,MONDEGO,111,194628,374655,40.34059,-8.19633,ARH-CENTRO,COIMBRA,PENACOVA,TRAVANCA DO MONDEGO,RIO MONDEGO,3069.04,91.15,18/04/1989,01/01/2015,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS-EST_TRÓFICO / DQA_QUIM_VIG,DESATIVADA
11H.07,ALB. AGUIEIRA - CRIZ,MONDEGO,-,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,15/02/2012,-,DQA_ECOL_OPER,ATIVA
11H.07C,ALB. AGUIEIRA - CRIZ (C),MONDEGO,-,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,01/01/2014,-,DQA_ECOL_OPER,ATIVA
11H.07F,ALB. AGUIEIRA - CRIZ (F),MONDEGO,-,196247.27,378716.25,40.37717,-8.1773,ARH-CENTRO,VISEU,SANTA COMBA DÃO,COUTO DO MOSTEIRO,RIO MONDEGO,-,-,01/01/2014,-,DQA_ECOL_OPER,ATIVA
