stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
28L.07F,GUADIANA - FOZ CHANÇA (F),GUADIANA,-,-,-,37.55335,-7.52258,ARH-ALENTEJO,BEJA,MÉRTOLA,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
28L.07S,GUADIANA - FOZ CHANÇA (S),GUADIANA,-,-,-,37.55335,-7.52258,ARH-ALENTEJO,BEJA,MÉRTOLA,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
30M.03F,GUADIANA - FOZ ESTERO PLATA (F),GUADIANA,-,-,-,37.19992,-7.41042,ARH-ALENTEJO,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
30M.03S,GUADIANA - FOZ ESTERO PLATA (S),GUADIANA,-,-,-,37.19992,-7.41042,ARH-ALENTEJO,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
29M.24,GUADIANA - FOZ ODELEITE,GUADIANA,6,261000,42666,37.34809,-7.44465,INAG/IH,FARO,CASTRO MARIM,ODELEITE,RIO GUADIANA,66800.63,21.09,27/02/2002,24/09/2004,SP,EXTINTA
29M.06F,GUADIANA - FOZ ODELEITE B (F),GUADIANA,-,-,-,37.34803,-7.44437,ARH-ALENTEJO,FARO,CASTRO MARIM,ODELEITE,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
29M.06S,GUADIANA - FOZ ODELEITE B (S),GUADIANA,-,-,-,37.34803,-7.44437,ARH-ALENTEJO,FARO,CASTRO MARIM,ODELEITE,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
28L.08F,GUADIANA - FOZ VASCÃO (F),GUADIANA,-,-,-,37.52602,-7.51248,ARH-ALENTEJO,-,-,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
28L.08S,GUADIANA - FOZ VASCÃO (S),GUADIANA,-,-,-,37.52602,-7.51248,ARH-ALENTEJO,-,-,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
29M.05F,GUADIANA - GONZALO MARTIN (F),GUADIANA,-,-,-,37.4239,-7.45157,ARH-ALENTEJO,FARO,ALCOUTIM,ALCOUTIM,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
29M.05S,GUADIANA - GONZALO MARTIN (S),GUADIANA,-,-,-,37.4239,-7.45157,ARH-ALENTEJO,FARO,ALCOUTIM,ALCOUTIM,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
30M.21,GUADIANA - GU1A,GUADIANA,1,264247,25339,37.19176,-7.40949,INAG/IH,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,67209.61,1.53,27/03/2003,24/09/2004,SP,EXTINTA
30M.23,GUADIANA - GU2A,GUADIANA,6,263685,29387,37.22828,-7.41548,INAG/IH,FARO,CASTRO MARIM,CASTRO MARIM,RIO GUADIANA,67119.42,6.29,27/03/2003,24/09/2004,SP,EXTINTA
30M.04F,GUADIANA - JUSANTE VILA REAL SANTO ANTÓNIO (F),GUADIANA,-,-,-,37.18462,-7.4078,ARH-ALENTEJO,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
30M.04S,GUADIANA - JUSANTE VILA REAL SANTO ANTÓNIO (S),GUADIANA,-,-,-,37.18462,-7.4078,ARH-ALENTEJO,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
28L.26,GUADIANA - POMARÃO,GUADIANA,5,253807,65558,37.55478,-7.52415,INAG/IH,BEJA,MÉRTOLA,SANTANA DE CAMBAS,RIO GUADIANA,63045.32,51.73,27/02/2002,26/09/2003,SP,EXTINTA
28L.01F,GUADIANA - PROVIÇOS (F),GUADIANA,-,-,-,37.57472,-7.58407,ARH-ALENTEJO,BEJA,MÉRTOLA,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
28L.01S,GUADIANA - PROVIÇOS (S),GUADIANA,-,-,-,37.57472,-7.58407,ARH-ALENTEJO,BEJA,MÉRTOLA,-,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
29M.51F,GUADIANA - PUERTO DE LA LOJA (F),GUADIANA,-,-,-,37.501098,-7.48552,-,-,-,-,,-,-,01/01/2019,-,DQA,ATIVA
29M.51S,GUADIANA - PUERTO DE LA LOJA (S),GUADIANA,-,-,-,37.501098,-7.48552,ARH-ALENTEJO,-,-,-,,-,-,01/01/2019,-,-,ATIVA
27L.27,GUADIANA - PULO LOBO,GUADIANA,30,244079,93422,37.80633,-7.63256,INAG/IH,BEJA,MÉRTOLA,MÉRTOLA,RIO GUADIANA,61882.62,93.49,27/02/2002,21/09/2002,SP,EXTINTA
30M.08F,GUADIANA - SAPAL VENTA MOINHOS (F),GUADIANA,-,-,-,37.2367,-7.41815,ARH-ALENTEJO,FARO,ALCOUTIM,ALCOUTIM,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
30M.08S,GUADIANA - SAPAL VENTA MOINHOS (S),GUADIANA,-,-,-,37.2367,-7.41815,ARH-ALENTEJO,FARO,CASTRO MARIM,CASTRO MARIM,RIO GUADIANA,-,-,05/05/2010,-,EEMA,ATIVA
22N.02,GUADIANA - TÁLIGA,GUADIANA,130,276024,181512,38.59774,-7.26043,INAG/LABELEC,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),RIO GUADIANA,51235.28,218.31,13/01/2003,06/12/2004,FLUXO-TFRONT-LE(PISC-CIP; CAPTAÇÃO),EXTINTA
30M.22,GUADIANA - VILA REAL SANTO ANTÓNIO,GUADIANA,0,264018,26540,37.2026,-7.41197,INAG/IH,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIO GUADIANA,67209.12,2.83,27/02/2002,21/09/2002,SP,EXTINTA
31M.20,GUADIANA - ZONA EXTERIOR,OCEANO ATLÂNTICO,-,265600,21289,37.15518,-7.39462,INAG/IH,-,-,-,OCEANO ATLÂNTICO,-,-,27/02/2002,24/09/2004,SP,EXTINTA
31M.01,GUADIANA COSTA,OCEANO ATLÂNTICO,-,265254,20572,37.14874,-7.39857,INAG/IA,-,-,-,OCEANO ATLÂNTICO,-,-,31/05/2001,17/02/2002,SP,EXTINTA
02R.01,GUADRAMIL,DOURO,-,-,-,41.90347,-6.56412,ARH-NORTE,BRAGANÇA,BRAGANÇA,UNIÃO DAS FREGUESIAS DE AVELEDA E RIO DE ONOR,,-,-,-,-,-,-
04N.04,GURIBANES,DOURO,229,280584,512151,41.57466,-7.1669,CCDR-NORTE,BRAGANÇA,MIRANDELA,MASCARENHAS,RIO TUELA,1069.86,210.42,17/01/1994,19/01/2000,CAPTAÇÃO / EXTRACÇÃO,EXTINTA
19F.02,HERDADE DA CANEIRA,TEJO,-,-,-,39.063021,-8.55294,ARH-TEJO,SANTARÉM,CORUCHE,SÃO JOSÉ DA LAMOROSA,,-,-,-,-,-,-
20E.08,HERDADE DO PESO,TEJO,-,-,-,38.948444,-8.684417,ARH-TEJO,SANTARÉM,CORUCHE,UNIÃO DAS FREGUESIAS DE CORUCHE  FAJARDA E ERRA,,-,-,-,-,-,-
12H.10,HOMBRES - CCHE,MONDEGO,-,-,-,40.28517,-8.21131,EDP,COIMBRA,PENACOVA,SÃO PEDRO DE ALVA,RIO ALVA OU RIBEIRA DA FERVENÇA,-,-,01/01/2011,-,TURH,ATIVA
04G.10,HOMEM (FISCAL),CÁVADO/RIBEIRAS COSTEIRAS,33,177767,520616,41.6546,-8.40003,ARH-NORTE,BRAGA,AMARES,FISCAL,RIO HOMEM,193.62,48.04,27/10/1993,-,CAPTAÇÃO-75-440 / PISC-SALM-78-659 / NITRATOS / DQA_QUIM_VIG,ATIVA
20M.50,HORTA,TEJO,-,59258,-75812.7,38.983604,-7.449797,ARH-TEJO,-,-,-,RIBEIRA DA SAMARRA,-,-,18/02/2011,-,DQA_ECOL_OPER,ATIVA
26F.50,HORTA BAIXO,SADO,-,163180,113125,37.98416,-8.5522,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ABELA,RIBEIRA DE CORONA,-,-,01/04/2009,-,DQA_ECOL_OPER,ATIVA
06O.02,HORTA DA VILARIÇA,DOURO,-,-,-,41.24089,-7.11095,ARH-NORTE,BRAGANÇA,VILA FLOR,UNIÃO DAS FREGUESIAS DE VILA FLOR E NABO,,-,-,-,-,-,-
19I.03,HORTA DO MOINHO,TEJO,-,-,-,39.079075,-8.067462,ARH-TEJO,PORTALEGRE,AVIS,ALDEIA VELHA,,-,-,-,-,-,-
16L.06,HORTA DOS OLIVAIS,TEJO,-,-,-,39.650504,-7.658743,ARH-TEJO,CASTELO BRANCO,VILA VELHA DE RÓDÃO,VILA VELHA DE RÓDÃO,,-,-,-,-,-,-
06G.02,HORTAL,LEÇA,379,176078,482436,41.31079,-8.41879,ARH-NORTE,PORTO,SANTO TIRSO,MONTE CÓRDOVA,RIO LEÇA,1.91,41.83,07/02/1995,-,REFERÊNCIA / PISC-SALM-78-659 / DQA_QUIM_VIG,ATIVA
14N.51,IDANHA-A-NOVA,TEJO,-,277913,327556,39.91286,-7.22189,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,IDANHA-A-NOVA,RIBEIRA DE ALCAFOZES,-,-,16/09/2009,-,DQA_ECOL_VIG,ATIVA
14O.03,IDANHA-A-VELHA,TEJO,-,-,-,39.996738,-7.149665,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,UNIÃO DAS FREGUESIAS DE MONSANTO E IDANHA-A-VELHA,,-,-,-,-,-,-
05E.09,IGREJA,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.49938,-8.71648,ARH-NORTE,BRAGA,ESPOSENDE,UNIÃO DAS FREGUESIAS DE FONTE BOA E RIO TINTO,,-,-,-,-,-,-
16M.52,INFERNO,TEJO,-,5967342.36,-5606867.58,39.537903,-7.433267,ARH-TEJO,PORTALEGRE,CASTELO DE VIDE,NOSSA SENHORA DA GRAÇA DE PÓVOA E MEADAS,RIO SEVER,-,-,22/09/2009,-,DQA_ECOL_VIG,ATIVA
07G.53,INHA,DOURO,25,175062,450725,41.023695,-8.428379,UTAD,PORTO,GONDOMAR,LOMBA,RIO INHA,-,-,09/06/2010,-,DQA_ECOL_VIG,ATIVA
01F.02,INSUA RANHÃO,MINHO,4,162352,564994,42.05355,-8.5879,ARH-NORTE,VIANA DO CASTELO,VALENÇA,VERDOEJO,RIO MINHO,16221.57,36.05,11/10/1993,-,CAPTAÇÃO-75-440 / LE(CAPTAÇÃO) / FLUXO-TFRONT-LE(PISC-SALM; CAPTAÇÃO) / NITRATOS-EST_TRÓFICO,ATIVA
24L.02,INTERLIGAÇÃO ÁLAMOS,GUADIANA,-,-,-,38.328647,-7.603828,ARH-ALENTEJO,ÉVORA,PORTEL,UNIÃO DAS FREGUESIAS DE AMIEIRA E ALQUEVA,,-,-,-,-,-,-
06H.50,IRIVO,DOURO,168,183270,467440,41.175442,-8.332922,UTAD,PORTO,PENAFIEL,IRIVO,RIO CAVALUM,-,-,07/06/2010,-,DQA_ECOL_VIG,ATIVA
13K.58,JANEIRO BAIXO,TEJO,-,227700,342220,40.04805,-7.8085,ARH-TEJO,COIMBRA,PAMPILHOSA DA SERRA,JANEIRO DE BAIXO,RIO ZÊZERE,-,-,15/09/2009,-,DQA_ECOL_OPER,ATIVA
23G.54,JUNCEIRA,SADO,-,-31886.21,-129487.04,38.5014831,-8.4873484,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SÃO MARTINHO,RIBEIRA DA JUNCEIRA,-,-,25/02/2013,-,DQA_ECOL_OPER,ATIVA
20A.04,JUNQUEIROS,RIBEIRAS DO OESTE,-,-,-,38.986217,-9.385609,ARH-TEJO,-,-,-,,-,-,-,-,-,-
25H.02,JUSANTE BARRAGEM ODIVELAS,SADO,-,5732451.66,-5699951.17,38.16201,-8.2128,ARH-ALENTEJO,-,-,-,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,20/03/2012,-,PISC-CIP,ATIVA
23I.56,JUSANTE BARRAGEM TOUREGA,SADO,-,8271.4,-130026.43,38.4969908,-8.0382925,ARH-ALENTEJO,ÉVORA,ÉVORA,NOSSA SENHORA DA TOUREGA,RIBEIRA DE VALVERDE OU DE S. MATIAS,-,-,05/03/2013,-,DQA_ECOL_OPER,ATIVA
05F.52,JUSANTE ETAR AGRA I e II,AVE,-,160702.96,485948.39,41.3418,-8.6026,ARH-NORTE,BRAGA,VILA NOVA DE FAMALICÃO,FRADELOS,RIO AVE,-,-,27/11/2013,-,DQA_QUIM_OPER,ATIVA
06F.50,JUSANTE ETAR DA PARADA,LEÇA,-,161155.18,470484.15,41.202411,-8.596107,ARH-NORTE,PORTO,MAIA,ÁGUAS SANTAS,RIO LEÇA,-,-,27/11/2013,-,DQA_QUIM_OPER,ATIVA
05G.54,JUSANTE ETAR DA RABADA,AVE,-,171902.1,486437.17,41.34667,-8.46883,ARH-NORTE,PORTO,SANTO TIRSO,SANTO TIRSO,RIO AVE,-,-,26/11/2013,-,DQA_QUIM_OPER,ATIVA
04F.52F,JUSANTE ETAR DE BARCELOS (F),,-,-,-,41.522916,-8.661215,-,-,-,-,,-,-,01/01/2019,-,DQA,ATIVA
04F.52S,JUSANTE ETAR DE BARCELOS (S),CÁVADO/RIBEIRAS COSTEIRAS,-,155919.87,506093.02,41.522916,-8.661215,ARH-NORTE,BRAGA,BARCELOS,CREIXOMIL,RIO CÁVADO,-,-,25/11/2013,-,DQA_QUIM_OPER,ATIVA
04G.52,JUSANTE ETAR DE FROSSOS,CÁVADO/RIBEIRAS COSTEIRAS,-,173504.97,510938.53,41.56732,-8.45076,ARH-NORTE,BRAGA,BRAGA,FROSSOS,RIBEIRA DAS PANOIAS,-,-,25/11/2013,-,DQA_QUIM_OPER,ATIVA
05G.51,JUSANTE ETAR DE LORDELO,AVE,-,179462.65,488821.87,41.36837,-8.37858,ARH-NORTE,BRAGA,GUIMARÃES,LORDELO,RIO AVE,-,-,26/11/2013,-,DQA_QUIM_OPER,ATIVA
05G.52,JUSANTE ETAR DE SERZEDELO I,AVE,-,179521.14,493723.44,41.412401,-8.378054,ARH-NORTE,BRAGA,GUIMARÃES,GONDAR,RIO SELHO,-,-,25/11/2013,-,DQA_QUIM_OPER,ATIVA
05G.53,JUSANTE ETAR DE SERZEDELO II,AVE,-,179071.01,493392.31,41.40951,-8.38342,ARH-NORTE,BRAGA,GUIMARÃES,SERZEDELO,RIO AVE,-,-,25/11/2013,-,DQA_QUIM_OPER,ATIVA
05E.50,JUSANTE ETAR DO AVE,AVE,-,151411.8,488352.21,41.362934,-8.713789,ARH-NORTE,PORTO,VILA DO CONDE,RETORTA,RIO AVE,-,-,26/11/2013,-,DQA_QUIM_OPER,ATIVA
27G.51,JUSANTE MONTE DA ROCHA,SADO,-,-17995.17,-209790.85,37.76975,-8.328831,ARH-ALENTEJO,BEJA,OURIQUE,PANÓIAS,RIO SADO,-,-,02/05/2013,-,DQA_ECOL_VIG,ATIVA
07K.11,JUSANTE PENUDE,DOURO,470,227385,457794,41.08881,-7.80719,ARH-NORTE,VISEU,LAMEGO,LAMEGO (SÉ),RIO BALSEMAO,60.76,115.23,12/02/2003,-,PISCÍCOLA,ATIVA
28F.57,JUSANTE SANTA CLARA,MIRA,-,-43551.81,-231967.64,37.5775871,-8.6261431,ARH-ALENTEJO,BEJA,ODEMIRA,BOAVISTA DOS PINHEIROS,RIO MIRA,-,-,02/05/2013,-,DQA_ECOL_OPER,ATIVA
02F.04,LABRUGE_est 1 - CCHE,,-,-,-,41.85152,-8.56097,EDP,VIANA DO CASTELO,PONTE DE LIMA,BÁRRIO,RIO LABRUJA,-,-,01/01/2011,-,TURH,ATIVA
02F.05,LABRUGE_est 2 - CCHE,,-,-,-,41.84301,-8.58136,EDP,VIANA DO CASTELO,PONTE DE LIMA,BÁRRIO,RIO LABRUJA,-,-,01/01/2011,-,TURH,ATIVA
02F.06,LABRUGE_est 3 - CCHE,,-,-,-,41.83967,-8.58525,EDP,VIANA DO CASTELO,PONTE DE LIMA,BÁRRIO,RIO LABRUJA,-,-,01/01/2011,-,TURH,ATIVA
16L.08,LADEIRA DE ROMA,TEJO,-,-,-,39.524611,-7.592333,ARH-TEJO,PORTALEGRE,NISA,UNIÃO DAS FREGUESIAS DE ESPÍRITO SANTO  NOSSA SENHORA DA GRAÇA E SÃO SIMÃO,,-,-,-,-,-,-
03J.05,LADRUGÃES,CÁVADO/RIBEIRAS COSTEIRAS,-,-,-,41.71009,-7.91515,ARH-NORTE,VILA REAL,MONTALEGRE,VILA DA PONTE,,-,-,-,-,-,-
09P.52,LAGAR DE ÁGUA,DOURO,580,298229,429317,40.827,-6.9687,UTAD,GUARDA,FIGUEIRA DE CASTELO RODRIGO,VILAR TORPIM,,-,-,26/05/2010,-,DQA_ECOL_OPER,ATIVA
17I.07,LAGAR NOVO,,-,-,-,39.478959,-8.050833,ARH-TEJO,SANTARÉM,MAÇÃO,ORTIGA,,-,-,-,-,-,-
12G.01,LAGARES,,-,-,-,40.280926,-8.400339,ARH-CENTRO,COIMBRA,COIMBRA,UNIÃO DAS FREGUESIAS DE SOUSELAS E BOTÃO,,-,-,-,-,-,-
28L.09,LAGE II,GUADIANA,-,-,-,37.662683,-7.63085,ARH-ALENTEJO,BEJA,MÉRTOLA,MÉRTOLA,,-,-,-,-,-,-
10N.07,LAGEOSA DO MONDEGO,MONDEGO,-,-,-,40.63825,-7.32998,ARH-CENTRO,GUARDA,CELORICO DA BEIRA,LAJEOSA DO MONDEGO,,-,-,-,-,-,-
22B.01,LAGOA ALBUFEIRA,TEJO,0,108890,172178,38.51224,-9.17769,CCDR-LVT,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,102.38,0.61,19/01/1999,30/12/2008,IMPACTO,EXTINTA
22B.02F,LAGOA ALBUFEIRA - B (F),TEJO,-,-,-,38.51245,-9.17343,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
22B.02S,LAGOA ALBUFEIRA - B (S),TEJO,-,-,-,38.51245,-9.17343,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
22C.02F,LAGOA ALBUFEIRA - C (F),TEJO,-,-,-,38.51737,-9.16658,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
22C.02S,LAGOA ALBUFEIRA - C (S),TEJO,-,-,-,38.51737,-9.16658,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
22C.07F,LAGOA ALBUFEIRA - D (F),TEJO,-,-,-,38.52155,-9.15828,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
22C.07S,LAGOA ALBUFEIRA - D (S),TEJO,-,-,-,38.52155,-9.15828,INAG/IPIMAR,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),RIBEIRA DA APOSTIÇA OU DA BRAVA OU LAGOA DA ALBUFEIRA,-,-,22/03/2010,-,EEMA,ATIVA
25E.03,LAGOA SANTO ANDRÉ - A,RIBEIRAS DO ALENTEJO,-,-,-,38.11127,-8.7975,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,25/03/2010,-,EEMA,ATIVA
25E.04F,LAGOA SANTO ANDRÉ - B (F),RIBEIRAS DO ALENTEJO,-,-,-,38.10747,-8.79718,ARH-ALENTEJO,-,-,-,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,01/01/2019,-,DQA,ATIVA
25E.04S,LAGOA SANTO ANDRÉ - B (S),RIBEIRAS DO ALENTEJO,-,-,-,38.10747,-8.79718,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,25/03/2010,-,EEMA,ATIVA
25E.05F,LAGOA SANTO ANDRÉ - C (F),RIBEIRAS DO ALENTEJO,-,-,-,38.10597,-8.79338,ARH-ALENTEJO,-,-,-,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,01/01/2019,-,DQA,ATIVA
25E.05S,LAGOA SANTO ANDRÉ - C (S),RIBEIRAS DO ALENTEJO,-,-,-,38.10597,-8.79338,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,25/03/2010,-,EEMA,ATIVA
25E.06F,LAGOA SANTO ANDRÉ - D (F),RIBEIRAS DO ALENTEJO,-,-,-,38.10122,-8.79437,ARH-ALENTEJO,-,-,-,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,01/01/2019,-,DQA,ATIVA
25E.06S,LAGOA SANTO ANDRÉ - D (S),RIBEIRAS DO ALENTEJO,-,-,-,38.10122,-8.79437,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,25/03/2010,-,EEMA,ATIVA
25E.07F,LAGOA SANTO ANDRÉ - E (F),RIBEIRAS DO ALENTEJO,-,-,-,38.09687,-8.78802,ARH-ALENTEJO,-,-,-,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,01/01/2019,-,DQA,ATIVA
25E.07S,LAGOA SANTO ANDRÉ - E (S),RIBEIRAS DO ALENTEJO,-,-,-,38.09687,-8.78802,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRA DA BADOCA OU SANTO ANDRÉ,-,-,25/03/2010,-,EEMA,ATIVA
17B.10,LAGOA ÓBIDOS - A,RIBEIRAS DO OESTE,-,-,-,39.42788,-9.23462,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.11F,LAGOA ÓBIDOS - B (F),RIBEIRAS DO OESTE,-,-,-,39.42747,-9.22292,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.11S,LAGOA ÓBIDOS - B (S),RIBEIRAS DO OESTE,-,-,-,39.42747,-9.22292,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.12,LAGOA ÓBIDOS - C,RIBEIRAS DO OESTE,-,-,-,39.41438,-9.21733,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.13,LAGOA ÓBIDOS - D,RIBEIRAS DO OESTE,-,-,-,39.42042,-9.20778,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.14F,LAGOA ÓBIDOS - E (F),RIBEIRAS DO OESTE,-,-,-,39.40992,-9.20818,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.14S,LAGOA ÓBIDOS - E (S),RIBEIRAS DO OESTE,-,-,-,39.40992,-9.20818,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.15F,LAGOA ÓBIDOS - F (F),RIBEIRAS DO OESTE,-,-,-,39.40265,-9.19828,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.15S,LAGOA ÓBIDOS - F (S),RIBEIRAS DO OESTE,-,-,-,39.40265,-9.19828,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.16,LAGOA ÓBIDOS - G,RIBEIRAS DO OESTE,-,-,-,39.39138,-9.22227,INAG/IPIMAR,LEIRIA,-,-,RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,-,-,15/04/2010,-,EEMA,ATIVA
17B.18F,LAGOA ÓBIDOS - NOVO (F),,-,-,-,39.421608,-9.223892,-,-,-,-,,-,-,01/01/2019,-,DQA,ATIVA
17B.18S,LAGOA ÓBIDOS - NOVO (S),RIBEIRAS DO OESTE,-,-,-,39.421608,-9.223892,-,-,-,-,,-,-,01/01/2019,-,-,ATIVA
09F.12,LAGOEIRO,,-,-,-,40.699784,-8.561561,ARH-CENTRO,AVEIRO,ESTARREJA,UNIÃO DAS FREGUESIAS DE CANELAS E FERMELÃ,,-,-,-,-,-,-
26L.12C,LAJE - CCHA (C),GUADIANA,-,-,-,37.96952,-7.51694,EDIA,-,-,-,,-,-,18/01/2011,-,EDIA,ATIVA
26L.12F,LAJE - CCHA (F),GUADIANA,-,-,-,37.96952,-7.51694,EDIA,-,-,-,,-,-,18/01/2011,-,EDIA,ATIVA
26L.12P,LAJE - CCHA (P),GUADIANA,-,-,-,37.96952,-7.51694,-,-,-,-,,-,-,-,-,EDIA,-
26L.12S,LAJE - CCHA (S),GUADIANA,-,-,-,37.96952,-7.51694,EDIA,-,-,-,,-,-,18/01/2011,-,EDIA,ATIVA
26L.13,LAJE JUSANTE - CCHA,GUADIANA,-,253111,111660,37.970163,-7.528651,EDIA,-,-,-,,-,-,19/01/2011,-,EDIA,ATIVA
12Q.50,LAJEOSA,DOURO,870,313834,374835,40.3345,-6.7935,UTAD,GUARDA,SABUGAL,LAJEOSA,,-,-,26/04/2010,-,DQA_ECOL_OPER,ATIVA
03G.11,LAMA - CCHE,LIMA,-,-,-,41.814556,-8.39946,EDP,VIANA DO CASTELO,ARCOS DE VALDEVEZ,OLIVEIRA,RIO LIMA,-,-,01/01/2009,-,TURH,ATIVA
04I.07,LAMEDO,AVE,-,-,-,41.58373,-8.07301,ARH-NORTE,BRAGA,VIEIRA DO MINHO,ROSSAS,,-,-,-,-,-,-
