"GRID_NO","LATITUDE","LONGITUDE","ALTITUDE","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
52045,38.01518,-8.38446,72,1247.17,1330.02,1349.45,1313.3,1256.28,1248.15,1284.46,1273.85,1254.82,1257.62,1267.86,1250.03,1328.82,1333.69,1230.05,1342.44,1400.44,1212.45,1141.65,1134.79,1155.56,1194.74,1211.54,1188.02,1244.69,1264.88,1353.07,1245.21,1219.37,1209.81,1313.85,1290.52,1321.28,1332.99,1309.61,1263.9,1361.48,1290.78,1403.4
50049,37.78472,-7.15909,205,1347.38,1441.95,1464.46,1358.27,1351.5,1329.94,1428.6,1394.88,1364.82,1338.09,1405.96,1391.19,1432.65,1444.2,1343.18,1473.58,1544.26,1289.94,1270.14,1280.37,1295.47,1326.56,1409.01,1376.73,1410.12,1369.02,1510.02,1327.3,1307.93,1319.59,1422.24,1345.92,1385.08,1431.41,1384.97,1351.63,1439.59,1407.54,1561.7
51046,37.84922,-8.04745,172,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1417.7,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1484.28,1316.58,1442.97,1560.72,1254.47,1140.98,1137.13,1159.05,1229.27,1332.32,1302.79,1366.29,1354.43,1448.39,1324.02,1276.86,1278.07,1452.55,1383.54,1399.71,1443.75,1415.68,1363.36,1464.94,1391.82,1589.22
51048,37.954,-7.49336,204,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1417.12,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1484.28,1316.65,1443.19,1560.72,1262.55,1237.34,1245.02,1270.66,1288.71,1332.57,1302.78,1366.62,1354.51,1448.39,1324.02,1276.88,1278.07,1452.55,1383.54,1399.71,1443.75,1415.68,1363.36,1464.94,1391.82,1589.22
52047,38.12197,-7.82947,166,1353.22,1451.01,1540.42,1414.54,1384.87,1306.58,1415.79,1398.98,1356.85,1338.28,1398.43,1387.92,1430.38,1483.87,1316.35,1442.02,1560.72,1255.94,1175.01,1186.04,1196.84,1255.25,1331.91,1302.76,1366.41,1347.52,1424,1290.97,1250.74,1252.35,1393.85,1359.21,1377.46,1430.38,1403.32,1357.76,1466.96,1421.3,1576.36
56047,39.00061,-8.07047,111,1193.09,1256.19,1269.47,1236.7,1214.61,1181.1,1222.15,1222.37,1217.99,1188.66,1267.08,1261.12,1319.8,1265.35,1228.69,1278.25,1423,1229.68,1195.17,1205.12,1227.17,1230.59,1318.53,1306.18,1343.73,1369.67,1427.15,1352.24,1334.44,1314.86,1410.49,1342.87,1362.5,1371.75,1316.13,1201.23,1338.03,1322.99,1458.17
38009,32.67743,-16.92055,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,1200.85,1236.6,1318.8,1409.71,1263.81,1247.78,143.37,0,0,0,0,0,0,0,0,0,0,0,0,0
66050,41.35185,-7.8413,498,961.31,934.52,950.56,949.3,863.63,911.52,948.04,933.23,938.34,895.95,981.58,996.14,990.56,1036.53,940.71,995.78,1049.58,960.77,917.4,944.56,937.43,962.69,959.08,962.27,968.72,978.29,1038.04,1042.26,1017.75,961.07,1063.43,1020.4,1030.18,979.56,1020.02,944.08,1014.9,964.9,1042.34
67050,41.5707,-7.90623,486,878.11,903.79,917.07,901.06,832.51,870.48,924.72,887.58,918.49,879.8,1020.2,1042.9,961.53,929.65,893.1,956.27,1004.77,892.7,870.29,854.58,871.17,888.76,962.29,981.48,995.47,1009.34,1102.72,1033.68,937.6,893.98,970.34,916.47,1033.67,960.29,1018.5,945.39,1025.53,972.88,1094.34
65047,40.97132,-8.58028,96,1065.77,1086.49,1151.69,1092.01,1038.49,1062.69,1101.53,1015.3,1032.21,1017.25,1159.9,1071.83,1081.03,957.01,906.84,882.53,955.94,894.88,889.4,863.59,899.1,948.35,1034.93,935.56,987.49,1005.22,1101.67,1052.23,1042.89,984.17,997.15,1050.52,1054.86,995.23,1022.09,933.64,991.62,971.94,986.56
66051,41.40445,-7.54955,644,993.97,974.95,993.14,991.64,902.41,941.89,988.22,980.3,972.02,911.63,1013.12,1043.47,1042.78,1053.36,981.54,1080.83,1150.01,995.45,876.08,905.43,902.6,954.15,964.38,973.42,1033.31,1007.08,1045.37,1045.93,1018.84,963.9,1063.31,1020.4,1031.92,979.52,1023.94,943.09,1015.41,965.04,1042.4
67051,41.62352,-7.61352,866,989.88,973.57,993.07,992.03,902.43,942.05,988.18,979.58,972.94,911.67,1016.24,1043.55,1037.89,1053.35,945.9,1063.83,1091.26,954.08,871.58,902.79,904.09,960.99,999.87,987.5,1036.06,1023.38,1097.68,1097.29,1066.47,1027.86,1144.36,1082.85,1089.9,1088.4,1047.12,993.55,1042.43,1045.74,1164.41
67053,41.72659,-7.0268,801,1027.01,1015.95,1035.2,1034.79,940.61,973.3,1028.46,1028.3,1006.76,927.14,1047.76,1090.63,1073.53,1071.03,939.01,1063.63,1091.46,954.13,871.58,902.55,904.04,966.93,1031.65,1003.96,1033.34,1032.35,1149.33,1125.18,1033.82,1026.72,1109.43,1044.44,1065.67,1059.89,1063.85,1044.64,1069.13,1034.98,1138.69
67055,41.82622,-6.43836,807,1026.83,1015.75,1035.2,1035.02,940.5,973.87,1028.46,1028.62,1007.39,927.14,1048.52,1090.79,1077.42,1071.15,939.18,1065.53,1091.74,954.14,871.71,902.55,904.41,967.01,1031.5,1004.27,1035.7,1030.62,1147.92,1112.31,1067.89,1061.55,1167.47,1094.51,1108.77,1132.06,1064.84,1044.7,1041.48,1039.6,1180.07
48048,37.29765,-7.32278,30,1323.04,1423.39,1365.34,1310.55,1270.43,1346.04,1383.66,1350.74,1318.67,1341.24,1345.54,1290.14,1384.9,1390.84,1306.16,1419.66,1438.68,1266.16,1248.68,1254.03,1241.52,1261.86,1279.3,1244.33,1323.4,1318.67,1384.1,1313.78,1318.59,1329.67,1322.25,1209.49,1262.24,1300,1218.88,1241.16,1396.34,1335.35,1391.38
49042,37.14111,-8.89825,66,1269.97,1342.22,1322.82,1329.48,1282.65,1291.69,1312.42,1282.91,1255.71,1301.89,1280.83,1201.45,1293.18,1044.36,1104.5,1126.31,1140.72,1093.97,1031.22,982.04,1036.5,1053.85,1167.35,1147.85,1231.84,1286.78,1307.18,1282.88,1256.25,1250.18,1281.74,1221.61,1248.17,1192.91,1028.45,1127.5,1239.88,1155.46,1293.96
59044,39.47481,-9.07587,35,1074.69,1129.86,1152.82,1136.61,1060.94,1094.12,1105.66,1069.94,1096.56,1065.87,1134.33,1128.46,1180.81,891.95,1137.4,1129.36,1213.99,1047.74,991.97,980.23,998.09,996.89,1160.48,1154.93,1221.24,1222.58,1290.93,1193.28,1203.43,1194.11,1247.99,1267.36,1006.36,1064.44,1290.17,1023.69,1015.68,1271.29,1368.92
63048,40.58817,-8.2268,296,994.05,1007.25,1049.3,1035.14,989.92,1022.8,1065.36,978.54,1009.1,987.84,1120.71,1089.61,1092.33,1027.87,941.29,948.38,1035,1027.85,1028.98,975.95,999.65,1027.5,1074.07,1017.65,1086.63,1034.99,1142.92,1099.21,1071.42,1012.57,1060.68,1025.61,1117.15,1042.47,1077.66,982.2,1093.94,1059.79,1168.14
64046,40.65119,-8.72655,4,1065.77,1086.49,1151.69,1092.01,1038.49,1062.96,1101.53,1015.3,1032.21,1017.25,1159.9,1071.83,1081.03,967.54,950.89,950.62,1030.58,979.84,962.98,945.75,947.92,958.55,999.41,942.32,1005.22,1002.17,1090.78,1029.55,1012.27,968.22,999.85,1050.13,1063.55,1009.75,1029.26,956.81,1009.03,1003.55,988.44
61048,40.1503,-8.09877,244,954.34,1001.65,1049.1,1048.05,994.11,996.28,1056.86,973.21,1019.12,973.14,1125.13,1112.84,1125.64,1044.59,972.31,1017.49,1112.92,1088.92,1046.87,1088.13,1119.91,1101.62,1116.81,1004.48,1067.5,1003.05,1099.57,1127.63,1086.28,1055.01,1114.43,1107.69,1123.32,1073.71,1047.25,948.88,1052.13,1063.38,1177.64
62045,40.18218,-8.87825,24,1045.8,1094.94,1128.59,1112.2,1045.72,1049.77,1089.3,1038.85,1067.76,1039.51,1135.18,1112.13,1122.36,964.51,1022.83,1046.84,1127.85,1001.75,989.28,980.05,993.46,996.9,1013.85,930.79,1002.43,981.5,1063.1,973.92,957.67,941.09,968.14,1018.94,1031.48,975.34,991.16,950.47,988.05,987.14,1044.96
