"GRID_NO","LATITUDE","LONGITUDE","ALTITUDE","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
59045,39.54864,-8.82408,173,696.7,326.4,522,367.5,547.1,568.8,714.3,538.9,619.6,474,712.2,423.7,383.9,328.7,584,428.1,624.6,853.5,828.6,459.4,522.5,760.2,697.8,788.2,790.6,457.8,419.2,778.7,392.3,509.3,725.1,851.6,649.3,461.9,636.3,839.3,414,738.7,390.5
62047,40.31503,-8.44923,61,1049.2,572.9,831.9,644.5,857.1,1060.3,1019.8,798,898.8,691,944,673.3,616.6,485.9,752.4,624.6,783.8,900.8,1040.9,647.2,712.1,948.8,962.6,1033.1,1039.8,622,564.4,998.2,527.8,702.3,974.5,1033.2,729.9,638.9,1013.6,1146.5,602.1,1134.7,553.5
60047,39.87736,-8.3206,256,878.6,440.8,661.9,528.4,739.6,900.5,897.2,676.1,742.4,639.1,899.4,524.4,494.6,404.6,670.6,496.7,662.6,845.1,941.1,571.4,581.6,846.6,805.5,892.5,858.6,543.3,511.1,881.1,504.3,582.3,808,949.4,693.2,546.2,832.1,977.1,485.3,959.7,463.2
61047,40.09626,-8.38461,136,989.9,547.7,773.9,601,824.6,1008.3,991.9,744.4,855.3,690.1,931.4,630.7,575.6,474.1,758.4,590.4,741.3,872.9,980.6,612.2,645.9,922.7,919.8,1004.3,954.4,612.9,552.2,981.3,536.1,680.9,934.1,989.8,724.7,599.2,940.6,1082.3,564.8,1064.5,519.6
62049,40.42272,-7.87532,293,1163.3,595.5,993.1,661,1019.9,1174.1,1139,840.4,961.4,816.9,1070.7,717.8,673.5,465.7,712,605.2,768.5,931.3,1082.1,726.8,858.7,1024.2,1026.5,1175.1,1113,716,668.6,1132.4,632.8,815.4,1073.7,1281.7,816,752.1,1136.3,1144.3,724.3,1424.3,682.4
63050,40.69461,-7.65022,497,1159.9,601,1001.3,648.4,1048.4,1158.4,1114.9,817.4,934.4,829.5,1053.7,701.7,665.7,472.5,710.7,611.2,785,954,1069.9,761.2,891,1011.9,1097.1,1220.4,1136,730.9,653.5,1133.5,628.8,816.9,1085.9,1296.1,793.2,809.4,1137.5,1144.2,738.5,1417,682
60050,40.03637,-7.46453,365,920.3,515.6,778.7,546.8,897.3,948.5,957.6,689.3,839.2,694.5,978.3,565.4,493.2,402,632,530.7,649.2,860.7,1029.2,622.5,667.5,816.5,830.8,962.7,896.3,555.8,531.4,910.5,561,596.7,749.1,1082.4,713,629.3,888.8,904,570.1,1037.4,477.2
60051,40.08771,-7.17836,409,873.8,458.6,724.6,496.9,834.7,871.3,879.7,616.5,817.6,643.5,962.4,520.7,477.6,415.2,534.1,507.3,631.3,838.1,971.6,583.8,647.5,769.2,765.4,901.3,852.1,540.8,491.5,812.7,545.2,561.8,668,1014.5,675.8,569.6,824.3,826.7,511.3,955.6,445.5
58045,39.32994,-8.75951,69,548.7,258.4,446.9,297.7,436,416.9,619,430.6,577,481.1,654.3,328.6,316.2,281.8,494.3,389.9,594.2,760.1,814.4,419.1,516.9,685.8,640.1,699.9,711.5,422.5,417,712.9,376,482.2,654.9,817.2,607.8,434,564.6,782.9,391.7,684.5,353.1
59047,39.65835,-8.25719,192,721.9,392.2,575,441.8,627.2,716.8,761.8,608.3,662.5,562.9,779.3,447.6,386.4,398.6,654.8,514.1,663.4,832.1,920,523.9,508,774.8,763,813.1,775.9,499.9,471,830.9,480.3,511.7,742.7,896.7,674.1,501.2,774,901.7,456.8,854.9,418.8
61053,40.40801,-6.66341,832,903.6,406.5,634.4,482.8,738.7,897.2,784.9,581,746.6,622.5,926,455.1,445.1,269.2,400.5,375.5,543.3,776.8,880,499,588.6,689,665,774.2,800.8,450.3,410.6,670.7,472.5,458.6,525.5,795.8,612.7,514.9,752.6,769.8,432.1,781.8,351.9
53044,38.17615,-8.68749,59,479.7,247.4,351.8,318.7,441.4,350,527.5,377.8,526,343.8,720.7,324.9,237.3,316.4,420.1,284.6,477.5,732,683.6,325.8,473.3,524.7,504.3,573.9,538.4,313,313.5,599.6,299.5,402.4,462.7,700,520.9,369.9,421.3,587.5,326.7,454.3,283
51047,37.90201,-7.77059,166,457.9,297.1,297.9,342.5,401.3,385.3,446.8,386.9,560.4,330.8,809,333,246.5,383.6,409.9,283.2,410.8,753.6,550.6,316.8,392,472,511.6,502.8,497.9,327.6,290.3,591.3,347,466.6,451.8,729.7,497.8,345.6,428.1,555.7,329.8,538.6,335.6
55049,38.88589,-7.44783,308,543.1,324.4,393.4,318,490.8,509.5,533.8,428.6,590.9,401.4,726.9,338.9,248.9,329.4,466.3,372.3,446.1,699.5,604.8,352.4,387.8,500.4,547.9,567.8,526.6,432,290,585.1,404.7,398.3,461.6,712.8,541.1,371.4,534.5,532.5,353.1,550.7,293
57048,39.27318,-7.84982,210,584.5,342.5,474.6,352.3,549.4,543.4,633.5,472.1,634.8,456.8,760.8,370.8,284.6,351.6,539.8,477.5,588.5,753.7,798.6,460.3,476.7,631.8,650.8,659.1,665.9,440.1,389.5,727.3,449.2,488.3,585.6,789.9,590.3,447.2,661.1,688.2,412.4,677.1,348.4
38010,32.71738,-16.79408,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,387.8,379.3,354.3,493.8,432.4,369.6,49,0,0,0,0,0,0,0,0,0,0,0,0,0
39008,32.78419,-17.19314,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,305.6,277.8,245.1,353.6,365.1,302.2,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0
39009,32.76318,-17.01986,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,323.8,303.6,290.6,377.1,384.9,330,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0
68047,41.64405,-8.76445,36,1399.7,956.6,1178.6,947.3,1187.5,1458.1,1152.4,1218.6,1408.4,914.8,1054.1,904.5,1029.6,829.5,1010.5,1259,1044,1250,1270.3,980.6,1151.7,1520,1525.4,1459.1,1305.9,832.4,778,1291.3,689.8,1015.6,1394,1294.3,1005.9,913.6,1357.9,1602.1,1018.4,1355.8,825.1
70050,42.22659,-8.10483,274,1561.9,1053.1,1246.6,996,1234.2,1574.5,1168.9,1067.2,1151.8,915.1,966.7,838,1006.8,907.2,1039.8,1189.3,1299.3,1273.3,1297.5,933.2,1138.8,1515.6,1442.8,1319.6,1191.9,821.5,851.8,1257.6,712.1,930.9,1272.3,1256.1,952.6,852.9,1238.5,1482.1,888.7,1292.9,803.1
67049,41.51703,-8.1985,276,1324.3,752.2,1081.8,757,1104.3,1358.9,1134.7,936.7,1082.5,783.9,992,740.8,858.1,709.8,901,1075.5,1112.2,1159.4,1272.2,852.6,1039.2,1337.5,1328.3,1315.9,1219.1,756,708.7,1175.8,638.1,869.3,1231.5,1231.3,896.3,805.5,1172,1365.3,789,1266,717.7
68053,41.94599,-7.08943,744,880.5,457.1,680.9,480.7,824.2,886.1,783.4,605.4,724.7,589.4,761.5,500.7,536.5,517.4,707.3,622.1,847,921,906.5,557.9,772.4,900.8,914.2,892.2,789,512.3,484.8,820.4,480.8,550,816.8,958,589.2,549.3,822.7,750.6,547.2,933.4,532.5
64053,41.06778,-6.84248,416,894.6,385.1,661.8,468.4,752,840.8,764.7,569.5,715.5,607.4,824.9,456.8,473.6,367,526.4,465.4,632.1,820.5,843.7,514.6,649.4,742.9,820.9,858.7,809.1,427.2,433.1,724,462.6,489.4,637.9,817,552.1,510.6,774.1,668.2,454.8,806.2,420.2
65051,41.18527,-7.4862,378,1133,512.6,864.6,555.2,974.5,1067.7,1041.7,730.2,862.8,711.2,967.2,579.8,636.1,512.1,644.1,629.6,827.7,955,1026.1,664.3,819.1,997.9,1087.3,1117.6,1027.4,620.4,556.8,984.5,534.1,675.9,936.5,1087.4,713.6,632.3,949.4,924.3,560.8,1090.4,550.8
65055,41.3863,-6.3188,713,586.8,268.2,360.4,324.8,475.8,505.7,467.5,349.5,440.8,436.5,550.2,323.8,295.5,337.1,452,391.3,523.8,683.8,668.9,374.2,446.5,591.3,596.2,624.7,600.8,345.2,321.2,580.5,404.3,388.7,477.5,654.1,427.9,374.2,567.6,517.7,389.4,590.5,334.4
47047,37.09893,-7.66692,5,367.4,280.1,204,237.6,401.1,203.1,318.7,281.2,512,352.1,801.7,307.5,270.4,344.9,347.6,240,419.7,826.6,493,255.7,300.3,401.8,498.3,412.5,467.1,278.4,257.1,525.4,323.3,407.8,379.2,662.6,409.3,271.8,327.1,406.2,282.5,385.3,255.8
49046,37.40934,-7.92967,309,383.9,281.6,236.2,264.4,408.2,269.3,361.4,340.1,535.3,359.8,845.5,322,238.2,371.9,389.7,238,413.5,779.6,542.8,275.5,332.9,425.7,510,432.8,462.9,291.3,285.1,520,304.9,441,391.3,655.6,457.4,286.8,363.6,435.8,291.9,394.7,277.1
49047,37.46174,-7.65444,158,397.9,287.4,230.2,263.1,400.1,278.4,358.1,343.3,519,342.1,834.6,306.9,257.2,348.7,378.1,243.8,407,787.3,553,280.1,338.2,434.7,503.4,431.1,463.5,299,265.7,558,330.3,435.6,394.2,697.1,454.2,298.5,365.4,427,287.8,432.3,292.9
57043,38.99872,-9.25663,89,550,266.1,453.2,323.8,456,378.2,615.8,435.4,588.9,423,664.5,374.5,325.9,302.8,501,378.6,592,745.4,788.6,383.9,495.4,684.1,622.2,694,715.6,410.2,421.9,762.6,364.7,519.3,660.9,814.7,590.2,423.4,516.2,721,368.8,613.7,333.2
58043,39.2135,-9.27122,47,531.7,263.6,443,298.5,433.3,366.1,586.7,419.3,565.2,437.3,615.1,338.6,323.6,279.4,492.4,366,605.9,746.1,777,378.7,471.8,649,611,692.1,735.3,400,400.2,729.3,349.9,489.9,649.4,805.2,625.6,409.5,502.4,716.8,370.3,627.1,328.7
60045,39.76334,-8.87971,67,751.6,349.9,500.4,392.3,533.4,635.9,685.6,548,630.1,458.5,697.6,438.8,392.3,341.7,596,421.6,617.8,817.6,721.3,430.2,452.1,837.8,768.4,843.6,834.4,508.7,444.1,835.7,403.9,593.7,819.6,880.2,688.1,504.3,710.6,893.3,430.5,823.5,425.8
62048,40.36929,-8.16248,171,1104.3,587.6,914.8,649.9,940,1143.8,1081.7,828,911.9,769.7,1020.9,698.6,647.7,482.1,747.9,642.9,807.3,941.1,1134.1,701.8,799.8,1027.1,1031.7,1119.5,1092.9,677,629,1055.5,601.9,779.7,1043.7,1176.6,789.1,700.2,1126.8,1208.6,690.5,1295.8,646.6
59051,39.86786,-7.11853,231,822.1,419.6,650.5,455.8,745.1,786.2,803.1,569.1,767.2,603.8,880.4,471.1,430.7,399.7,536,500.9,599.8,808.4,946.7,552,577.5,706.3,712.2,799.5,780.9,489.7,443.1,762.4,509.9,530.2,587.9,923.3,652.3,531.2,768.3,779,458.6,831.9,387.6
58047,39.43922,-8.19437,113,656.9,361.3,517,402.8,581.7,631.1,691.8,528.8,654.2,507.1,762.2,411.1,330.6,372,593.6,459.5,589,799.8,861.1,464.8,472.3,668.2,674.4,692.4,696.8,445.8,403,748.7,436.6,502.8,656.4,825.8,621.1,454.9,671.7,746.3,400.6,745.5,359.8
62053,40.62804,-6.72253,709,920.1,403.2,655.7,496.5,740.9,914,800.8,571.4,731.6,644.2,915.8,461.3,449.4,275.6,401.8,383.5,561,762.5,746.7,499.6,640.5,710.4,744,847.9,818.2,437.7,408.3,675.5,467.8,441.5,517.2,765.1,534.6,507.8,758.1,719.1,454.1,772,346.6
55045,38.67311,-8.56939,112,525.5,283.7,405.2,314.8,493.3,412.8,592.3,429.6,564.2,386.5,727.6,361.9,266.3,313.7,450.4,324.1,527.9,737.9,756.8,373.6,468.1,588.2,539.1,612.5,557.3,358.9,347.4,641.6,343.6,428.9,507.4,757.8,549.3,383.8,489.5,685.3,344.6,518.4,309.1
57042,38.91009,-9.40945,101,539.2,263.3,427.3,318.3,445.3,347.6,603,405.2,583.4,371,651.9,365.7,329.5,298.6,504.9,353.9,587.1,724.4,760.7,363.1,476.7,679.3,612.3,698.8,754.1,416.6,437.1,798.5,358.6,535.8,672,847.9,586.9,403.6,469,695.1,343.4,578.7,321.9
51043,37.68541,-8.76837,48,404.6,202.4,216.1,246,318.1,279.2,323.2,294.2,450.1,279.6,677.2,252,199.4,296.2,364.2,221.7,431.4,701.6,583.7,299.4,389.5,450,454.6,502.8,479.7,254,276.7,523.7,251.9,385.1,384.9,650.3,469.3,319.9,372.6,519.6,354.8,398,262
52045,38.01518,-8.38446,72,444.3,234.6,286.8,307.5,379.6,347.4,429.1,363.7,504.5,308.2,739.3,302.1,217.2,326.5,378.8,246,441.6,642.1,545.1,304.4,415.9,483.4,484.9,533.2,491,293.2,293.3,568.9,295.4,407.8,446.1,667.7,507.8,346.1,428.4,583.6,313,451.6,286.5
50049,37.78472,-7.15909,205,401.9,267.6,222.6,270.2,406.8,312,353.6,328.7,519.8,274.1,774.8,236.2,282.7,282.3,378.6,218.7,402.8,733,607,286.7,351.9,427,451,411.6,461.8,303.2,205.4,587.7,398.6,501.3,458.9,776.5,487.1,335.2,412.7,447.5,316,553,348.1
51046,37.84922,-8.04745,172,441.3,282.3,286.7,316.2,394.5,339.5,435.3,383,541.6,331.4,807.1,325.7,236.5,372.5,410.9,272.5,416.4,736.9,559.2,309.9,408.5,454.2,515.7,506.1,498.4,323.2,301.2,569.6,315.9,415.6,433.4,684.3,496.8,336.6,409.9,551.5,306.7,483.1,294.2
51048,37.954,-7.49336,204,425,280.8,267.7,307.9,408.9,370,426.3,367.3,531.9,293.3,772.3,297.5,258.3,327.4,399.9,237,408.8,689.3,591.9,309.7,383,463,477.5,468.8,465.1,323.1,259.7,594.7,383.5,451,451.7,744.9,492.6,349.3,428.3,530.8,320.9,527.7,328.2
52047,38.12197,-7.82947,166,490.9,302.4,311.9,329,405.4,412.8,475.4,402.6,574.3,330.6,797.4,336.8,253.8,376.9,422.5,272.6,440.2,665.8,538.2,324.2,398.1,504.2,527.8,530.2,512.3,341.6,299.6,587,327,449.9,462.2,724.5,531.5,353.9,444.8,593,314.1,520.3,340.1
56047,39.00061,-8.07047,111,584,329.5,466.1,356.2,560,511.3,642.6,455.5,603.7,459.3,735.6,358,281.4,338.1,525.1,421,529.1,762,776.5,429.3,468.3,614.4,610.6,650.3,615.3,413.7,338.6,663.3,439.2,433.3,553.6,743.8,582.2,401.7,580.1,692.8,384.2,609.5,329.6
38009,32.67743,-16.92055,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,345,329.1,309.7,424.6,421.4,393.6,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0
66050,41.35185,-7.8413,498,1175.1,641,995.7,662.2,1037.2,1255.2,1148.8,855.4,1029.5,814.2,1019.7,674.7,791.1,615.1,801.6,960.3,966.9,1050.7,1168.7,742.7,961.2,1174.1,1257.6,1196.8,1146,699.5,634.7,1096.9,566.8,801.2,1110.3,1195,796.1,683.1,1037,1142.4,629.6,1177.1,638.9
67050,41.5707,-7.90623,486,1233.2,714.9,1043.4,722.8,1079.4,1354.9,1143.7,895.2,1016.1,795.5,927.7,690.4,832.5,697.9,893.1,1008.3,1071.3,1119.4,1225.3,807.9,1011.3,1263.2,1257.2,1224.6,1162.8,724.9,684.5,1109.1,609.9,795.4,1153.3,1188.3,817.2,740.1,1097,1223.6,693.1,1215.6,678
65047,40.97132,-8.58028,96,1185.9,779.4,1060.8,730.8,1039.2,1238.6,1013.7,913.5,1095.6,766.1,1003.5,766.8,822.9,598.1,821.7,880.5,968.2,1061.4,1149.1,762.6,897.6,1146.6,1190,1242.4,1172.4,727.6,610.8,1127.5,581,833.8,1147.5,1141.9,874.9,771.9,1168.9,1403.6,793.8,1274.7,720.2
66051,41.40445,-7.54955,644,1031.5,495,826.6,520.1,919.8,1007.4,962.4,705.4,846,684.9,864.2,559,641.7,557.6,773.9,768.7,900.9,1020.1,1106.8,652.9,859.3,1041.8,1143.8,1120.8,1033.3,615.9,544.8,1004.1,523.4,687.1,967.6,1096.8,686.8,645.4,940.5,943.6,541.4,1055.2,563.5
67051,41.62352,-7.61352,866,1098.1,562.6,866.7,600.3,969.8,1152.6,1005.4,775.4,890.1,708.2,869.1,608.9,680.2,627.1,796.5,859.1,956.1,1048.7,1108.9,692.4,903.7,1122,1123.1,1110.5,1018.5,622.5,616.7,992.2,544.6,671.1,1023.5,1093.9,739.1,647.8,980.3,1011.5,593.6,1081.2,604.6
67053,41.72659,-7.0268,801,846.6,412.3,648,472.3,796.5,824.3,769,597.9,705.3,568.8,769.1,491.2,498.9,481.2,667.5,578.9,799.2,902.8,885.9,537.6,725.4,867.3,890.8,892,793.1,473.9,451.7,816.6,459.6,551.5,763.6,957.3,573.6,484.2,790.8,701.9,522.7,880.4,488.2
67055,41.82622,-6.43836,807,645.4,323.9,431.4,392.5,551.5,607.6,525.5,402.3,545.5,465.9,618.9,374.6,332.1,383.3,538.2,454.7,605.8,740.1,752.3,412.2,517.8,674.9,670.7,709.5,613.2,377.3,335,617.5,444.3,442.2,527.2,784.7,453.5,390.4,620.5,505.1,460,682.8,402.8
48048,37.29765,-7.32278,30,372.1,307.7,217.9,266.9,426.7,257.5,359.3,323.4,516.7,327.3,826.6,278,300.9,320.4,376.9,226.7,413.3,831.3,559.8,272.2,315.6,417.1,505.1,413.2,488.7,292.9,240.7,579.6,347.8,455.7,420.4,708.6,470,291.5,359.5,465.1,294.3,443.4,316.4
49042,37.14111,-8.89825,66,317.7,203.2,199.4,208.6,301.3,165.1,274.5,232,423.4,304,653.7,257,199.9,300.1,370.9,228.8,403.9,734.9,544.7,274,319.1,470.3,442.3,467.6,439.2,245.3,276.9,447.2,265.3,374.6,278.9,640.4,451.6,312.3,299.8,443.5,370.9,391.3,287.7
59044,39.47481,-9.07587,35,653.6,313.7,492.4,355.6,514.2,522.3,675.5,509.8,612.7,466.5,679.5,403.4,356.4,310.4,551.1,399.3,607.2,781.2,804.9,417,490.5,704.8,665.2,731.5,765.3,429.8,422.4,755.6,370.1,507,687.2,817.8,633.8,438.8,568.1,791.9,387.4,701.1,360.3
63048,40.58817,-8.2268,296,1126.9,606.1,968.4,649.5,993.2,1135.9,1089.9,836.6,926.2,756,1017.8,684.2,665.7,528.2,781,716.2,896.1,1025.9,1097.6,754.2,890.8,1083.5,1114.3,1192.3,1177,694.5,636.1,1107.6,609.4,810.4,1111.3,1208.1,810.6,725.9,1169.6,1277.2,720.5,1342.5,688.1
64046,40.65119,-8.72655,4,988,581.8,857.6,612.8,855.7,1008.1,907.7,778.1,868.1,627,856.4,622.5,674.4,494.7,737.2,703.7,869.6,990.4,1045.5,659.4,797,1048.4,1056.2,1118.7,1087.7,634.8,538,1023,505.4,735.1,1018.1,1017.9,783,675,1027.6,1243.9,646,1108.9,618.1
61048,40.1503,-8.09877,244,1011.2,531.1,834.9,609.3,871.3,1053.5,1013.9,765.8,874,729.5,968.5,647.9,585.8,445.8,742.3,563.1,722.6,877.2,1032.1,647.1,715.9,919.5,935.5,1036.8,982.6,625.2,578.3,1004.9,569.9,662.8,916,1103.9,744.4,632.4,979.3,1094.4,605.2,1167.5,554.3
62045,40.18218,-8.87825,24,847.1,450.3,662.4,485.5,697,797.3,804,659.8,730.6,546.7,768.6,520.3,528,395,650.5,502.6,687.4,836.7,766.5,458.2,497.5,829.3,801.3,871.7,893,516.3,462,893.9,423.1,592.3,835.8,893.5,664.8,534.9,793.1,1010.8,482.3,920.5,457
62050,40.47531,-7.58773,440,1336.3,726.5,1115.1,738.2,1165.1,1302.8,1204.7,912.5,1077.1,958.5,1263,817.2,761.9,446.2,692.4,579.1,738.2,934.9,1048.5,769.4,931.1,1056.6,1000.3,1265.1,1178.5,788.7,738.1,1221.1,690.1,864.7,1102.8,1463.1,877.6,919,1226.6,1079.5,789.3,1630.6,730.9
57047,39.21998,-8.13213,151,544.8,313.3,430.7,351.4,520.8,512.8,611.7,443.9,587.9,433.3,727.1,331.3,265.2,329.9,497.2,424.1,531,710.7,795.2,415.1,437.9,627.7,624.6,646.7,646.2,428.8,364.8,663.2,432.5,444.1,589.5,764.2,605,402.7,608.4,712.5,382.4,637.8,329.4
54044,38.40065,-8.72622,8,500.8,262.5,384.1,313.8,462,383.3,573.9,395.8,541.1,369.3,727.9,350.4,257.1,309.7,432.6,320.5,511.5,752.8,727,345.2,471.9,552.6,518.7,604.1,568.3,331.5,331.8,636.5,325.4,426.7,491.5,745.6,514.2,373.3,464.4,654.1,329.1,503.9,306.1
55043,38.56054,-9.09596,40,533.9,264.5,426.9,321.1,474.4,350.5,626.1,401.9,603.9,404.1,663,378,303.5,299.4,481.1,347.8,555.3,763.9,753.6,365.4,485.5,573.5,548,631.3,635.5,364.6,363.5,708.3,326.2,456.5,542.5,784.8,547.2,418.2,477.1,712.3,322.2,563.7,321.9
51044,37.74122,-8.60005,133,397.8,224.3,238.3,261,350,271.4,341.6,317.4,457.2,321.8,756.8,281.2,216.9,328.8,379,243,442.2,729.2,573.6,298,394.2,438,473.1,497.6,485.6,256.7,294.2,534.6,279.7,401.6,402.9,664.2,465,318.3,371.5,506.6,350.1,416.6,269.3
53045,38.23461,-8.44554,50,485.2,260.9,359.9,331.7,444.4,391.4,529.8,396.8,556.1,341.5,764.5,333.2,241.3,321.8,413.6,293,468,722.7,687.3,333.6,481.5,517.2,498.6,568,527.4,322.1,305,600.6,316.2,420.6,463.6,695.6,539.2,368.3,458.9,618.2,316.4,471.7,290.7
50046,37.62934,-7.98829,219,399.3,274.8,257.1,276.3,379.1,292.3,376.8,363.2,521.4,328.2,832,298,236.5,373.4,390.5,258.7,404.1,741.6,544.2,304,392.5,422.1,494.5,475.7,480.9,317.2,279.6,545.9,312.4,425,400.4,656.5,462,324.8,390.9,481.9,298.2,465.3,276.5
50048,37.73373,-7.43585,200,395.6,293.8,236.3,279.5,406.6,302.4,363.4,352.9,522.2,306.8,825.4,275.1,267.3,331.2,381.5,249.6,396.1,753.9,574.1,284.8,371.3,449.7,501.4,450.9,475.4,307.7,255.5,579.1,361.4,454.6,433.2,728.2,480.8,316.6,396.3,472.8,297.8,502,323.4
53047,38.34181,-7.88889,203,474.8,288.8,330.1,311.8,438.4,434.9,512.9,400.3,552,327.5,790.9,322.9,234.4,336.7,411.1,257.6,443.5,640.5,581.1,312.7,393.9,564.9,535.3,556.1,476.8,372.6,294.9,596.3,355.8,419.2,460.5,725.2,528.4,356.3,489,606.8,321.3,487.7,307.3
55047,38.78113,-8.00938,271,542.4,326.4,428.8,345.7,528.5,496.4,618.7,460.5,610.9,407.1,777.4,362.7,258.8,333.5,479.1,372.1,496,750.3,731.3,399.1,442,585.9,574.2,610.1,571.5,396.3,331.9,636.8,412.4,421.3,499,738.3,552.7,392.8,542.9,640.4,352.8,557.6,318.9
54050,38.71685,-7.10852,218,521.8,296,331.8,284.1,457.5,493.5,478.2,380.4,561.8,361.8,712.3,293,225,323.3,407.1,319.5,412.4,665.9,581.4,315.1,365.7,495,495.9,496.6,509.2,394.5,260.1,505.5,354.9,396.4,416.8,693.2,424,346.8,472.7,504.3,323.7,478.7,268.6
55048,38.83392,-7.72879,279,530.8,318.9,397.5,325.9,496.5,495.3,556.1,443.5,594.5,395.6,762.2,343.6,240.3,338.1,469.4,359,479.8,682.5,611.3,365.7,393.3,545.5,572.3,581.4,524.9,394.3,297.8,609.3,404.3,407.6,486.9,700.7,522.4,366.5,534.5,577.6,358.8,550.8,298.5
56050,39.15714,-7.22498,306,611.9,364.6,445.5,333,537,542.8,561.2,456.8,648.4,480.9,724.6,369.9,304.1,387.2,507.5,466.8,506.1,748.3,722.8,413,448.4,518,599,625.8,611,440.5,323,621.3,439,444.1,494.5,741.3,554.9,414.5,601.8,568.1,406.9,630.3,298.8
