Muni_ID,ID,Muni,Avg_yield
1418,16C1418,Tomar,1900
1419,16C1419,Torres Novas,1900
1420,16C1420,Vila Nova da Barquinha,1900
1115,1711115,Amadora,1900
1105,1711105,Cascais,1900
1106,1711106,Lisboa,1900
1107,1711107,Loures,1900
1109,1711109,Mafra,2003
1116,1711116,Odivelas,1900
1110,1711110,Oeiras,1900
1111,1711111,Sintra,1900
1114,1711114,Vila Franca de Xira,1900
1502,1721502,Alcochete,1900
1503,1721503,Almada,1900
1504,1721504,Barreiro,1900
1506,1721506,Moita,1900
1507,1721507,Montijo,1900
1508,1721508,Palmela,1900
1510,1721510,Seixal,1900
1511,1721511,Sesimbra,1900
1512,1721512,Setúbal,1900
1501,1811501,Alcácer do Sal,1900
1505,1811505,Grândola,1900
211,1810211,Odemira,920
1509,1811509,Santiago do Cacém,1267
1513,1811513,Sines,1168
1201,1821201,Alter do Chão,1772
1202,1821202,Arronches,920
1203,1821203,Avis,1900
1204,1821204,Campo Maior,920
1205,1821205,Castelo de Vide,1632
1206,1821206,Crato,1672
1207,1821207,Elvas,920
1208,1821208,Fronteira,1249
1209,1821209,Gavião,1900
1210,1821210,Marvão,921
1211,1821211,Monforte,920
707,1820707,Mora,1900
1212,1821212,Nisa,1900
1213,1821213,Ponte de Sor,1900
1214,1821214,Portalegre,933
701,1830701,Alandroal,920
702,1830702,Arraiolos,1808
703,1830703,Borba,920
704,1830704,Estremoz,943
705,1830705,Évora,1306
706,1830706,Montemor-o-Novo,1900
708,1830708,Mourão,920
709,1830709,Portel,920
710,1830710,Redondo,920
711,1830711,Reguengos de Monsaraz,920
1215,1831215,Sousel,1522
712,1830712,Vendas Novas,1900
713,1830713,Viana do Alentejo,1641
714,1830714,Vila Viçosa,920
201,1840201,Aljustrel,920
202,1840202,Almodôvar,920
203,1840203,Alvito,1066
204,1840204,Barrancos,920
205,1840205,Beja,920
206,1840206,Castro Verde,920
207,1840207,Cuba,920
208,1840208,Ferreira do Alentejo,1191
209,1840209,Mértola,920
210,1840210,Moura,920
212,1840212,Ourique,920
213,1840213,Serpa,920
214,1840214,Vidigueira,920
1403,1851403,Almeirim,1900
1404,1851404,Alpiarça,1900
1103,1851103,Azambuja,1900
1405,1851405,Benavente,1900
1406,1851406,Cartaxo,1900
1407,1851407,Chamusca,1900
1409,1851409,Coruche,1900
1412,1851412,Golegã,1900
1414,1851414,Rio Maior,1900
1415,1851415,Salvaterra de Magos,1900
1416,1851416,Santarém,1900
801,1500801,Albufeira,920
802,1500802,Alcoutim,920
803,1500803,Aljezur,920
804,1500804,Castro Marim,920
805,1500805,Faro,920
806,1500806,Lagoa,920
807,1500807,Lagos,920
808,1500808,Loulé,920
809,1500809,Monchique,920
810,1500810,Olhão,920
811,1500811,Portimão,920
812,1500812,São Brás de Alportel,920
813,1500813,Silves,920
814,1500814,Tavira,920
815,1500815,Vila do Bispo,920
816,1500816,Vila Real de Santo António,920
